,Turn,Speaker,Text,True,Pred,Don_true,Don_pred
0,0,0,HJi how old is the bike?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.31913095712661743
1,0,1,"Hi there, are you interested in the bike?",Not-a-strategy,Not-a-strategy,0,0.37731054425239563
2,1,0,yes where did you buy it from orginally?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.5794053673744202
3,1,1,It is just over a year. I bought it from the schwinn factory directly.,Not-a-strategy,Not-a-strategy,0,0.43886637687683105
4,2,0,did you have to make any repair? are all the parts orginigal?,Source Derogation-Contesting,Source Derogation-Contesting,0,0.42094334959983826
5,2,1,"I have newly installed rim tapes, inner tubes, derailleur cable.  all new parts. it is in good condition if that is what you are worried about.",Not-a-strategy,Not-a-strategy,0,0.40131205320358276
6,3,0,who will deliever the bike?,Not-a-strategy,Information Inquiry-Contesting,0,0.41181761026382446
7,3,1,"I think we can arrange that, i will take care of either delivering it or the shipping. I am asking 240$ witht he shipping included.",Personal Choice-Empowerment,Personal Choice-Empowerment,0,0.47796136140823364
8,4,0,can you do $220?,Hesitance-Hesitance,Hesitance-Hesitance,0,0.4305010735988617
9,4,1,That seems fair. Deal.,Not-a-strategy,Not-a-strategy,0,0.40381160378456116
10,0,0,Hey. How long have you had this couch for?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.5196667909622192
11,0,1,"HI, we've had it a couple years",Not-a-strategy,Not-a-strategy,1,0.4311791658401489
12,1,0,Okay. Did anyone smoke where the couch was?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.48236626386642456
13,1,1,"Oh, no, none of us are smokers and it was bought new, so that's not an issue.",Not-a-strategy,Not-a-strategy,1,0.41995418071746826
14,2,0,Okay great.  Is there any damage to the couch? Do you have a picture?,Source Derogation-Contesting,Source Derogation-Contesting,1,0.40677371621131897
15,2,1,"Sorry, ,I don't have a photo. But it has no damage, you would see when you picked it up.",Not-a-strategy,Not-a-strategy,1,0.3671625256538391
16,3,0,Okay.  How much are you trying to sell it for?,Not-a-strategy,Not-a-strategy,1,0.3644695281982422
17,3,1,I'm asking $40 and have come down a bit to that,Hesitance-Hesitance,Not-a-strategy,1,0.39346665143966675
18,4,0,40 is good to me.  I can pick it up this weekend.  Cool?,Not-a-strategy,Not-a-strategy,1,0.35444918274879456
19,4,1,"Hey, great! It's a deal. This weekend works fine.",Not-a-strategy,Not-a-strategy,1,0.42554938793182373
20,5,0,Awesome,Not-a-strategy,Not-a-strategy,1,0.45404940843582153
21,5,1,"Thanks, see you then.",Not-a-strategy,Not-a-strategy,1,0.3855290710926056
22,6,0,You too. Bye,Not-a-strategy,Not-a-strategy,1,0.36760005354881287
23,6,1,bye,Not-a-strategy,Not-a-strategy,1,0.36330917477607727
24,0,0,"Hi, I'm interested in the 2001 Rav 4",Not-a-strategy,Not-a-strategy,0,0.2690221667289734
25,0,1,It is a great car. It runs great. I'm asking $4000.,Not-a-strategy,Not-a-strategy,0,0.6003085374832153
26,1,0,"That's way out of my budget, plus it seems a bit steep for such an old car.",Counter Argumentation-Contesting,Counter Argumentation-Contesting,0,0.5901166796684265
27,1,1,"It may be old, but it runs great. Has lower mileage and a clean title.",Counter Argumentation-Contesting,Counter Argumentation-Contesting,0,0.5876492261886597
28,2,0,Why are you selling it?,Source Derogation-Contesting,Source Derogation-Contesting,0,0.65073162317276
29,2,1,I'm going to get a motorcycle instead. How much are you willing to pay?,Not-a-strategy,Not-a-strategy,0,0.6875006556510925
30,3,0,"I'm very interested, but it's out of my price point. I'd like to pay around 2,500 for my next car.",Hesitance-Hesitance,Self Pity-Empowement,0,0.4226050078868866
31,3,1,"You can't get a car like this for that low. I checked the Blue Book, and what I'm asking is right in range. I'll tell you what. I have a friend who is a mechanic. If you give me $3500, I'll have him check it out for you for free.",Counter Argumentation-Contesting,Counter Argumentation-Contesting,0,0.6365297436714172
32,4,0,"I could go up to $3,000",Hesitance-Hesitance,Hesitance-Hesitance,0,0.66175776720047
33,4,1,How about $3400?,Hesitance-Hesitance,Hesitance-Hesitance,0,0.6048934459686279
34,5,0,"Believe me, I wish I had that much saved. The absolute highest I could go is $3,200",Self Pity-Empowement,Self Assertion-Empowerment,0,0.6775690317153931
35,5,1,"No, too low. I'm close to the Blue Book value. If you pay $3400 and something goes wrong in the next three months, I'll refund your money. You rarely get a warranty like tha!",Personal Choice-Empowerment,Personal Choice-Empowerment,0,0.43927574157714844
36,0,1,are you will to buy it,Not-a-strategy,Not-a-strategy,1,0.26914897561073303
37,0,0,yes,Not-a-strategy,Not-a-strategy,1,0.3252395689487457
38,1,1,i can offer you this item for 175$ with original box manual and remote,Not-a-strategy,Personal Choice-Empowerment,1,0.33766767382621765
39,1,0,a bit lower than that maybe?,Hesitance-Hesitance,Hesitance-Hesitance,1,0.6764460206031799
40,2,1,165$ can be a good deal,Hesitance-Hesitance,Not-a-strategy,1,0.7457865476608276
41,2,0,how about the condition?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.4370463490486145
42,3,1,"it new light used only, only 6 to 7 month old. still under warranty",Not-a-strategy,Not-a-strategy,1,0.44172197580337524
43,3,0,how about the shipping?,Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.36419031023979187
44,4,1,i you are willing to pay 170 i can make the shipping what  do you say?,Personal Choice-Empowerment,Not-a-strategy,1,0.34643325209617615
45,4,0,but you cant ship with 165?,Source Derogation-Contesting,Hesitance-Hesitance,1,0.4259112477302551
46,5,1,5$ isn't much for this item.,Counter Argumentation-Contesting,Counter Argumentation-Contesting,1,0.36053717136383057
47,5,0,yeah i know i think 170 is good with free shipping,Not-a-strategy,Not-a-strategy,1,0.373424232006073
48,6,1,can we have the deal,Not-a-strategy,Not-a-strategy,1,0.6511408090591431
49,0,1,Hello are you interested in the rental,Not-a-strategy,Not-a-strategy,1,0.29546067118644714
50,0,0,"Hi. I am yes, it seems to be a nice option. What is the asking price?",Not-a-strategy,Not-a-strategy,1,0.35805821418762207
51,1,1,5395,Hesitance-Hesitance,Not-a-strategy,1,0.5420112013816833
52,1,0,"I see. What comes with it? If I am leasing it, will I get repairs covered?",Information Inquiry-Contesting,Information Inquiry-Contesting,1,0.5065778493881226
53,2,1,Yes reparis are covered and you have the chef's kitchen and pool with it.,Not-a-strategy,Not-a-strategy,1,0.5301131010055542
