,Turn,Speaker,Text,True,Pred,Don_true,Don_pred
0,0,0,"Hey, how's it going?",Not-a-strategy,Not-a-strategy,0,0.2898577153682709
1,1,1,"Good, how are you?",Not-a-strategy,Not-a-strategy,0,0.3488212823867798
2,1,0,Good here as well.,Not-a-strategy,Not-a-strategy,0,0.3621567487716675
3,2,0,Do you have a moment to chat about children causes?,Not-a-strategy,Not-a-strategy,0,0.3668493628501892
4,2,1,Sure thing.,Not-a-strategy,Not-a-strategy,0,0.36665651202201843
5,3,1,What are they?,Not-a-strategy,Not-a-strategy,0,0.3666800856590271
6,3,0,I'd like to talk about children who weren't born with the same as opportunities.,Not-a-strategy,Not-a-strategy,0,0.36711016297340393
7,4,0,Particularly children who go hungry everyday and have no place to live.,Not-a-strategy,Not-a-strategy,0,0.3671303987503052
8,4,0,How does that make you feel?,Not-a-strategy,Not-a-strategy,0,0.3675468862056732
9,5,1,It sucks that not all people and children have the comfort of having a stable place to stay or the comfort of knowing they are able to eat.,Not-a-strategy,Not-a-strategy,0,0.3674177825450897
10,6,1,It is sad.,Not-a-strategy,Not-a-strategy,0,0.36739644408226013
11,6,0,What was life like for you growing up?,Not-a-strategy,Not-a-strategy,0,0.3672214150428772
12,7,0,Did you ever have to worry about having enough to eat or having a safe place to live?,Not-a-strategy,Not-a-strategy,0,0.3671001195907593
13,7,1,I did not have to worry about those things.,Not-a-strategy,Not-a-strategy,0,0.36713457107543945
14,8,1,Both of my parents were employed and were able to provide for me and my siblings.,Not-a-strategy,Not-a-strategy,0,0.367284893989563
15,8,0,I felt safe and secure in my home.,Not-a-strategy,Not-a-strategy,0,0.36723753809928894
16,9,0,That is absolutely wonderful.,Not-a-strategy,Not-a-strategy,0,0.3672012388706207
17,0,0,"Hi, how are you today?",Not-a-strategy,Not-a-strategy,0,0.2899114191532135
18,1,1,okay..and how are you,Not-a-strategy,Not-a-strategy,0,0.34919941425323486
19,1,0,I'm doing great.,Not-a-strategy,Not-a-strategy,0,0.3625948131084442
20,2,0,"Out of curiousity, have you heard of the organization Save the Children?",Not-a-strategy,Not-a-strategy,0,0.3663540482521057
21,2,1,yes..i am very familiar..,Not-a-strategy,Not-a-strategy,0,0.36724647879600525
22,3,1,are you involved with charity,Hesitance-Hesitance,Not-a-strategy,0,0.3671821355819702
23,4,0,Yes!,Not-a-strategy,Not-a-strategy,0,0.3673011064529419
24,5,0,I really prefer local charities but some nationwide and international ones are very dear to my heart.,Not-a-strategy,Not-a-strategy,0,0.3675929605960846
25,6,0,Whenever we have the opportunity to donate from our task rewards I always try to give a little bit.,Not-a-strategy,Not-a-strategy,0,0.3678728938102722
26,7,1,me too..i see many commercials for charity on TV and it breaks my heart..,Not-a-strategy,Not-a-strategy,0,0.36782562732696533
27,8,1,"i am also a follower of Unicef, are you familiar",Self Assertion-Empowerment,Not-a-strategy,0,0.3680257499217987
28,9,0,"Yes, I've heard of Unicef.",Not-a-strategy,Not-a-strategy,0,0.3679681420326233
29,10,0,Another great organization.,Not-a-strategy,Not-a-strategy,0,0.3679576814174652
30,0,0,"Hello, have you ever made a charitable donation?",Not-a-strategy,Not-a-strategy,0,0.2898593246936798
31,1,1,Yes I have,Not-a-strategy,Not-a-strategy,0,0.3490990400314331
32,2,0,Which charity have you donated to?,Not-a-strategy,Not-a-strategy,0,0.3629724383354187
33,3,1,Save the children,Self Assertion-Empowerment,Not-a-strategy,0,0.36600789427757263
34,4,0,That is such a great organization isn't it?,Not-a-strategy,Not-a-strategy,0,0.3665894567966461
35,5,0,"I love donating to their worthy cause, don't you?",Not-a-strategy,Not-a-strategy,0,0.3665024936199188
36,6,1,Yes. Save the children is a very nice organization,Not-a-strategy,Not-a-strategy,0,0.36628827452659607
37,6,0,What is the most that you have donated to them?,Not-a-strategy,Not-a-strategy,0,0.3663322329521179
38,7,1,I donated 1000 dollars to them.,Self Assertion-Empowerment,Not-a-strategy,0,0.36641058325767517
39,8,0,WOW!,Not-a-strategy,Not-a-strategy,0,0.3665385842323303
40,9,0,That's great!,Not-a-strategy,Not-a-strategy,0,0.36649811267852783
41,0,0,"Hey there, glad we can talk tonight.",Not-a-strategy,Not-a-strategy,0,0.2899538278579712
42,1,1,"Hello, same!",Not-a-strategy,Not-a-strategy,0,0.34874477982521057
43,1,0,I'd like to talk to you about something that's very dear to me.,Not-a-strategy,Not-a-strategy,0,0.3616390526294708
44,2,0,Do you have a moment?,Not-a-strategy,Not-a-strategy,0,0.3648703694343567
45,2,1,"Yeah, totally.",Not-a-strategy,Not-a-strategy,0,0.36663180589675903
46,3,1,Go ahead,Not-a-strategy,Not-a-strategy,0,0.36791908740997314
47,4,0,What was it like for you growing up?,Not-a-strategy,Not-a-strategy,0,0.36795827746391296
48,5,0,"Were your basic needs met like food, place to live, water, etc?",Not-a-strategy,Not-a-strategy,0,0.36746856570243835
49,6,1,"Well, I grew up in a wealthy house.",Not-a-strategy,Not-a-strategy,0,0.367071270942688
50,6,1,My mother and father both have a PhD so their jobs made possible for us to be able to cover all that and so much more,Not-a-strategy,Not-a-strategy,0,0.36693665385246277
51,7,0,You are very lucky.,Not-a-strategy,Not-a-strategy,0,0.36708998680114746
52,8,0,I wish all kids could have that kind of opportunity.,Not-a-strategy,Not-a-strategy,0,0.3668305575847626
