,Turn,Speaker,Text,True,Pred,Don_true,Don_pred
0,0,0,"hi, how are you?",Not-a-strategy,Not-a-strategy,0,0.3015724718570709
1,1,1,I'm doing well thank you,Not-a-strategy,Not-a-strategy,0,0.364943265914917
2,1,0,"that good You knew that for every minute that passes, a child under the age of 5 dies as a result of the war in the Middle East",Not-a-strategy,Not-a-strategy,0,0.3791041374206543
3,2,1,That is absolutely terrible.,Not-a-strategy,Not-a-strategy,0,0.3826742470264435
4,2,1,Are there any good charities that are helping on this issue?,Hesitance-Hesitance,Not-a-strategy,0,0.38359636068344116
5,3,0,"I recently read from an organization called Save a Children, which works hard to protect these children and needs financial help to continue",Not-a-strategy,Not-a-strategy,0,0.3839339017868042
6,3,1,How can someone help?,Not-a-strategy,Not-a-strategy,0,0.3841302990913391
7,4,1,I would be willing to donate my time and perhaps some money.,Not-a-strategy,Not-a-strategy,0,0.38424360752105713
8,5,0,"you can help by donating what you can, you can even help with your win in mturk, I think these children need us now",Not-a-strategy,Not-a-strategy,0,0.3844655156135559
9,5,1,How exactly does the money help the cause?,Hesitance-Hesitance,Not-a-strategy,0,0.3845885992050171
10,6,1,What's it spent on?,Hesitance-Hesitance,Not-a-strategy,0,0.38468360900878906
11,6,0,"is super important, help children who live the harsh reality of war, fewer and fewer people help, the money goes to the education, health and safety of these children.",Not-a-strategy,Not-a-strategy,0,0.3847302794456482
12,6,0,how much would you be willing to donate your payment?,Not-a-strategy,Not-a-strategy,0,0.38473811745643616
13,6,1,I'd be willing to donate a dollar or two,Not-a-strategy,Not-a-strategy,0,0.38475263118743896
14,7,0,"eso estaria muy bien, entre todos podemos ayudar, la mayoria de los demas trabajadores donaran todo su pago, estos ni??Â¸?Â£?os estaran agradecidos",Not-a-strategy,Not-a-strategy,0,0.38477030396461487
15,7,1,Perfect.,Not-a-strategy,Not-a-strategy,0,0.3848453462123871
16,8,1,How do I donate then?,Hesitance-Hesitance,Not-a-strategy,0,0.38489463925361633
17,8,0,"The research team will collect all donations and send them to Save the Children, you will be deducted from your payment for this task",Not-a-strategy,Not-a-strategy,0,0.38496148586273193
18,8,1,You need to type faster.,Not-a-strategy,Not-a-strategy,0,0.3849676847457886
19,9,1,Our HITs are going to expire on us.,Not-a-strategy,Not-a-strategy,0,0.3850385844707489
20,9,1,"I'd rather send the money on my accord, rather than have it deducted.",Not-a-strategy,Not-a-strategy,0,0.3850766718387604
21,9,1,Where can I go to send it?,Hesitance-Hesitance,Not-a-strategy,0,0.38507235050201416
22,0,0,"Hey there, are you one to donate to charities?",Not-a-strategy,Not-a-strategy,1,0.3012695908546448
23,1,0,Because I have a great one that you could take a look at.,Not-a-strategy,Not-a-strategy,1,0.3642500936985016
24,2,1,i usually do donate to charities,Self Assertion-Empowerment,Not-a-strategy,1,0.37863531708717346
25,3,0,Oh really?,Not-a-strategy,Not-a-strategy,1,0.38244274258613586
26,4,0,I bet Save the Children could be right for you though.,Not-a-strategy,Not-a-strategy,1,0.3834461271762848
27,4,0,"From the task you are doing, you can donate as much or as little as you like.",Not-a-strategy,Not-a-strategy,1,0.38399362564086914
28,5,1,I would like to know more about this charity,Hesitance-Hesitance,Not-a-strategy,1,0.3842706084251404
29,6,0,"Save the Children is and how your donation is essential to help ensuring children's rights to health, education, safety, etc.",Not-a-strategy,Not-a-strategy,1,0.38461244106292725
30,6,1,I'm surprised i've never heard about it! how do i know if it's legit and if money really go to help those kids,Information Inquiry-Contesting,Not-a-strategy,1,0.384667307138443
31,7,0,It's a very legitamate charity.,Not-a-strategy,Not-a-strategy,1,0.3847983479499817
32,8,0,There are millions of children that need help and just as many people that are willing to donate for the children.,Not-a-strategy,Not-a-strategy,1,0.38488948345184326
33,8,1,i understand but i just don't feel comfortable donating yet.,Information Inquiry-Contesting,Not-a-strategy,1,0.38496601581573486
34,9,0,How much money do you spend on unnecessary stuff like a bag of snack or candy?,Not-a-strategy,Not-a-strategy,1,0.38492095470428467
35,0,0,Hello how are you?,Not-a-strategy,Not-a-strategy,0,0.3012572228908539
36,1,1,"Hey, I am doing well",Not-a-strategy,Not-a-strategy,0,0.36484941840171814
37,1,0,I have a friend of mine in another country who lost a child today to hunger,Not-a-strategy,Not-a-strategy,0,0.3790968358516693
38,2,1,That is terrible.,Not-a-strategy,Not-a-strategy,0,0.3824625611305237
39,3,1,Are there any charities that work in that area?,Hesitance-Hesitance,Not-a-strategy,0,0.3834397494792938
40,4,0,Yeah.,Not-a-strategy,Not-a-strategy,0,0.38407421112060547
41,4,0,It's really sad we have the money to just splurge on stuff in our normal every day lives but we can't spend just a few bucks a month or year for the children!,Not-a-strategy,Not-a-strategy,0,0.38435232639312744
42,5,1,It hurts my heart when I see those children's charity commercials.,Not-a-strategy,Not-a-strategy,0,0.3844055235385895
43,6,0,Yeah I know.,Not-a-strategy,Not-a-strategy,0,0.38438913226127625
44,7,0,What do you think we can do?,Not-a-strategy,Not-a-strategy,0,0.3844812214374542
