,Turn,Speaker,Text,True,Pred,Don_true,Don_pred
0,0,0,Would you like to donate to a Charity called Save the Children?,Not-a-strategy,Not-a-strategy,1,0.30505770444869995
1,1,1,"Hi, it all depends on who you really are, if it's for a person very close to me if I'm willing",Personal Choice-Empowerment,Not-a-strategy,1,0.3693927526473999
2,1,0,"It would go to supporting children in developing countries, especially in war zones.",Not-a-strategy,Not-a-strategy,1,0.38301798701286316
3,2,0,"For instance, millions of Syrian children have grown up facing the daily threat of violence.",Not-a-strategy,Not-a-strategy,1,0.38668155670166016
4,3,0,"In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",Not-a-strategy,Not-a-strategy,1,0.38687995076179504
5,4,1,"if I would agree with that, and if my organ donated what problems would my body have?",Self Assertion-Empowerment,Not-a-strategy,1,0.38698843121528625
6,5,1,the operation has risks,Self Assertion-Empowerment,Not-a-strategy,1,0.38746127486228943
7,6,0,"I am not asking for an organ donation, but more of a financial one.",Not-a-strategy,Not-a-strategy,1,0.3878750503063202
8,7,0,"You can give any amount, even as little as $0.01 can help.",Not-a-strategy,Not-a-strategy,1,0.3881351351737976
9,8,1,"oh ok I'm sorry I have read wrong, if I would be willing to donate with pleasure is a good cause",Not-a-strategy,Not-a-strategy,1,0.38802701234817505
10,9,0,How much would you like to donate?,Not-a-strategy,Not-a-strategy,1,0.3876856565475464
11,0,0,Hello.,Not-a-strategy,Not-a-strategy,1,0.3035131096839905
12,1,1,Hello!,Not-a-strategy,Not-a-strategy,1,0.36636781692504883
13,2,0,"I am supposed to ask you if you care about people being killed in Syria and things like that, I don't want to cause you any emotional discomfort by talking about suffering people.",Not-a-strategy,Not-a-strategy,1,0.380508154630661
14,2,0,Is that okay?,Not-a-strategy,Not-a-strategy,1,0.38432443141937256
15,2,0,To talk about suffering people and children for a minute?,Not-a-strategy,Not-a-strategy,1,0.3861987292766571
16,3,1,I will have no discomfort discussing suffering people.,Not-a-strategy,Not-a-strategy,1,0.38649243116378784
17,3,0,"I think the refugee crisis is crazy, I am not sure what I would do if I was raising my kids in Syria.",Not-a-strategy,Not-a-strategy,1,0.3867882490158081
18,3,0,If anyone could have fun in those spots it's kids though.,Not-a-strategy,Not-a-strategy,1,0.3869689404964447
19,3,1,I feel really torn about the crisis.,Not-a-strategy,Not-a-strategy,1,0.38673165440559387
20,4,1,I don't think the weight of that burden should fall on the rest of the worlds shoulders.,Self Assertion-Empowerment,Not-a-strategy,1,0.3868742287158966
21,4,1,At the same time as a parent I would want the best possible future for my children and I know fiercly that I would do everything in my power to make sure they were in a safe place.,Counter Argumentation-Contesting,Not-a-strategy,1,0.3868374824523926
22,4,0,I actually didn't think of it like that.,Not-a-strategy,Not-a-strategy,1,0.3867644667625427
23,4,0,"I am a parent too, it feels so foreign what they are going through.",Not-a-strategy,Not-a-strategy,1,0.386716365814209
24,5,0,"This whole chat thing is supposed to get me to get you to donate to Save the Children, but now I think they got me to do it instead!",Not-a-strategy,Not-a-strategy,1,0.38684526085853577
25,5,0,I don't know if that's really okay to do though.,Not-a-strategy,Not-a-strategy,1,0.3867468237876892
26,6,1,I always wonder how much of donations actually go where ear marked.,Hesitance-Hesitance,Not-a-strategy,1,0.38680872321128845
27,6,1,"I see on the local level how much of donations stay local and what gets spent on things I would call ""stupid"".",Hesitance-Hesitance,Not-a-strategy,1,0.3868255615234375
28,7,1,I am always worried if I donate it will just go to some higer up that is living the high life.,Hesitance-Hesitance,Not-a-strategy,1,0.3868642747402191
29,7,1,Sorry Im getting off topic.,Not-a-strategy,Not-a-strategy,1,0.3867819011211395
30,8,0,"No, that's relevant.",Not-a-strategy,Not-a-strategy,1,0.3868044912815094
31,9,0,Really relevant.,Not-a-strategy,Not-a-strategy,1,0.38671261072158813
32,9,0,It's really easy to get cynical about life and if people really benefit from any of this.,Not-a-strategy,Not-a-strategy,1,0.3866153359413147
33,0,0,Hello,Not-a-strategy,Not-a-strategy,0,0.30345776677131653
34,1,1,Hi there how are you?,Not-a-strategy,Not-a-strategy,0,0.3673039376735687
35,2,0,Great and you,Not-a-strategy,Not-a-strategy,0,0.381610244512558
36,3,1,"I am doing fine, thanks for asking.",Not-a-strategy,Not-a-strategy,0,0.3855281472206116
37,4,0,Can I ask you a question?,Not-a-strategy,Not-a-strategy,0,0.38689786195755005
38,5,1,You sure can,Not-a-strategy,Not-a-strategy,0,0.3868204355239868
39,6,0,Do you have any kids?,Not-a-strategy,Not-a-strategy,0,0.3864973485469818
40,6,1,I don't have any children but there are many children in my family.,Not-a-strategy,Not-a-strategy,0,0.3863232433795929
41,7,0,"Im sure you love them as your own, I have a big family do you?",Not-a-strategy,Not-a-strategy,0,0.3862864375114441
42,8,1,"I do have a big family, I enjoy it at times, other times I don't",Not-a-strategy,Not-a-strategy,0,0.3864414393901825
43,9,0,I truly understand.,Not-a-strategy,Not-a-strategy,0,0.38659003376960754
44,0,0,Hello chat partner!,Not-a-strategy,Not-a-strategy,0,0.30313822627067566
45,0,1,hi there!,Not-a-strategy,Not-a-strategy,0,0.36619648337364197
46,1,1,how are you?,Not-a-strategy,Not-a-strategy,0,0.3803994059562683
47,2,0,Doing alright..,Not-a-strategy,Not-a-strategy,0,0.3834459185600281
48,2,0,I have a fridge full of food and a roof over my head so I can't complain..,Not-a-strategy,Not-a-strategy,0,0.3840349018573761
49,3,1,same here!,Not-a-strategy,Not-a-strategy,0,0.384208619594574
50,4,0,Not everyone has it so it's good that you appreciate it,Not-a-strategy,Not-a-strategy,0,0.38429000973701477
51,4,0,yeah..,Not-a-strategy,Not-a-strategy,0,0.38436010479927063
52,5,0,I do..,Not-a-strategy,Not-a-strategy,0,0.3844773471355438
53,6,0,my parents were always in a good situation to be able to raise me well.,Not-a-strategy,Not-a-strategy,0,0.38490787148475647
54,7,0,but there are a lot of kids in the world who arent so fortunate',Not-a-strategy,Not-a-strategy,0,0.3850118815898895
55,8,1,i know.,Not-a-strategy,Not-a-strategy,0,0.38502177596092224
56,9,1,it's so heartbreaking,Not-a-strategy,Not-a-strategy,0,0.3849751353263855
57,9,0,"im working for this organization right now Save the Children, do you know of it?",Not-a-strategy,Not-a-strategy,0,0.3849422335624695
58,0,0,"Hello, Have you heard of the save a children charity?",Not-a-strategy,Not-a-strategy,0,0.3031557500362396
59,0,1,Why yes I have.,Not-a-strategy,Not-a-strategy,0,0.3665516674518585
60,1,1,Do you represent them?,Source Derogation-Contesting,Not-a-strategy,0,0.38206928968429565
61,2,0,Yes I do.,Not-a-strategy,Not-a-strategy,0,0.3852243721485138
62,2,0,I go aroudn telling people about the charity to see if they would like to help out.,Not-a-strategy,Not-a-strategy,0,0.3856024146080017
63,3,1,"I've been thinking of donating to charity, but I could never find the right one.",Counter Argumentation-Contesting,Not-a-strategy,0,0.3862520456314087
64,3,0,This one is great.,Not-a-strategy,Not-a-strategy,0,0.3865954577922821
65,4,0,We help out poor children.,Not-a-strategy,Not-a-strategy,0,0.38670119643211365
66,4,0,We assist in all sorts of ways.,Not-a-strategy,Not-a-strategy,0,0.3865971565246582
67,5,0,"Education, health care, vaccinations etc.",Not-a-strategy,Not-a-strategy,0,0.38693633675575256
68,6,0,We cover all aspects of it.,Not-a-strategy,Not-a-strategy,0,0.38727542757987976
69,7,0,Did you know you can donate the money you were getting from this HIT to save the children?,Not-a-strategy,Not-a-strategy,0,0.3872067332267761
70,7,1,Oh really?,Not-a-strategy,Not-a-strategy,0,0.387483686208725
71,8,1,I honestly had no idea.,Personal Choice-Empowerment,Not-a-strategy,0,0.38732725381851196
72,8,0,Yes it is!,Not-a-strategy,Not-a-strategy,0,0.3872133791446686
73,9,0,Would you like to spend $1.70 to help some poor children today.,Not-a-strategy,Not-a-strategy,0,0.3872462511062622
74,0,0,Hi how are you today?,Not-a-strategy,Not-a-strategy,0,0.3031320571899414
75,0,1,I'm good!,Not-a-strategy,Not-a-strategy,0,0.366586834192276
76,0,1,How are you doing?,Not-a-strategy,Not-a-strategy,0,0.3817460238933563
77,1,1,What's your feelings about giving to children's charities?,Not-a-strategy,Not-a-strategy,0,0.3849759101867676
78,1,0,It depends on the charity.,Not-a-strategy,Not-a-strategy,0,0.38582369685173035
79,1,0,Some of them are scams I think.,Not-a-strategy,Not-a-strategy,0,0.386008083820343
80,2,0,Do u donate?,Not-a-strategy,Not-a-strategy,0,0.38626962900161743
81,3,1,I agree that you have to be careful.,Not-a-strategy,Not-a-strategy,0,0.38643553853034973
82,3,1,I do donate to Ronald McDonald House and St Jude.,Counter Argumentation-Contesting,Not-a-strategy,0,0.38665127754211426
83,4,1,How much do you donate?,Self Assertion-Empowerment,Not-a-strategy,0,0.38694655895233154
84,5,0,"I have donated to Ronald McDonald before, but not on a regular basis.",Not-a-strategy,Not-a-strategy,0,0.38683733344078064
85,5,0,Have you heard of Save The Children?,Not-a-strategy,Not-a-strategy,0,0.38666167855262756
86,6,1,I have heard of Save the Children but I'd rather keep my donations US-based,Counter Argumentation-Contesting,Not-a-strategy,0,0.38673362135887146
87,7,0,"I agree on that most of the time, but this organization does wonderful things for these children.",Not-a-strategy,Not-a-strategy,0,0.38664013147354126
88,8,1,I am not sure about where all the donation money ends up.,Source Derogation-Contesting,Not-a-strategy,0,0.38665294647216797
89,8,1,I'd rather give to Ronald McDonalds especially since I know people who have personally benefited.,Hesitance-Hesitance,Not-a-strategy,0,0.3865644633769989
90,9,0,"I can understand that, but in my experience with this organization they truly use the donations for the kids and have prevented many from starving to death.",Not-a-strategy,Not-a-strategy,0,0.3864539861679077
91,9,1,there are so many starving and abused kids here in the US that I'd feel more comfortable helping them first.,Counter Argumentation-Contesting,Not-a-strategy,0,0.3865222930908203
92,9,0,"You are right, but you can donate a portion of your payment to this organization and continue to donate to your charities.",Not-a-strategy,Not-a-strategy,0,0.3864440619945526
93,9,1,that's true.,Not-a-strategy,Not-a-strategy,0,0.38639041781425476
94,0,0,Hey,Not-a-strategy,Not-a-strategy,1,0.3041808307170868
95,1,1,Hiya,Not-a-strategy,Not-a-strategy,1,0.367311030626297
96,2,0,are you familiar with Save the Children?,Not-a-strategy,Not-a-strategy,1,0.3818240761756897
97,2,1,I'm not - Could you tell me more about it?,Source Derogation-Contesting,Not-a-strategy,1,0.3854750096797943
98,3,0,Well Save the children is an organization that ensures children rights to health education and safety.,Not-a-strategy,Not-a-strategy,1,0.3861851096153259
