,Turn,Speaker,Text,True,Pred
0,0,0,How long have you been using the phone?,Information Inquiry-Contesting,Self Assertion-Empowerment
1,0,1,I've had it for about 9 months,Not-a-strategy,Self Assertion-Empowerment
2,1,0,I heard that the iphone 6 had a lot of software bugs. When is apple going to fix them?,Source Derogation-Contesting,Self Assertion-Empowerment
3,1,1,"I don't know anything at all about that. I've never had a problem with this phone, just wanted to upgrade to a 6s",Not-a-strategy,Self Assertion-Empowerment
4,2,0,"Okay, what about the battery life?",Information Inquiry-Contesting,Self Assertion-Empowerment
5,2,1,It works just like as new. No problem waiting until the end of the day to charge it up.,Not-a-strategy,Self Assertion-Empowerment
6,3,0,Alright. I am willing to pay $125 for it to buy it now.,Hesitance-Hesitance,Self Assertion-Empowerment
7,3,1,"I can't go that low. I was looking for $320, but I'd be willing to lower my price to $280",Hesitance-Hesitance,Self Assertion-Empowerment
8,4,0,I am not going to go that high for an out of date phone. If you went me to pay anymore you will have to throw in something else with the deal. Apple is terrible with supporting older products.,Counter Argumentation-Contesting,Self Assertion-Empowerment
9,4,1,"How about this, I'll drop the price to $200. It's worth that much and uh, I can throw in a backup charger.",Not-a-strategy,Self Assertion-Empowerment
10,5,0,I'll take it with the backup charger for $185.,Hesitance-Hesitance,Self Assertion-Empowerment
11,5,1,I can't do it.,Self Assertion-Empowerment,Self Assertion-Empowerment
12,6,0,I am not willing to pay anymore. Take it or leave it.,Self Assertion-Empowerment,Self Assertion-Empowerment
13,6,1,You're going to miss out on a great phone for the price. I could go $190 but that's as low as I'll go.,Self Assertion-Empowerment,Self Assertion-Empowerment
14,7,0,Alright. I will take it for $190.,Not-a-strategy,Self Assertion-Empowerment
15,7,1,deal.,Not-a-strategy,Self Assertion-Empowerment
16,0,0,I'm interested in your hutch.  Will you take $200?,Not-a-strategy,Self Assertion-Empowerment
17,0,1,"no, that's way too low, brand new it would be 2000 and yeah, it's not brand new but still",Self Assertion-Empowerment,Self Assertion-Empowerment
18,1,0,"$2000 from Costco?  You need to stay out of that place, you got robbed.  I'm willing to go up to $225 because my mom needs a new desk soon.",Source Derogation-Contesting,Self Assertion-Empowerment
19,1,1,"it's been very well taken care of, you wouldn't even know it was used how about 600 and I'll even help you move it to your vehicle",Personal Choice-Empowerment,Self Assertion-Empowerment
20,2,0,I will take it for $300 if you throw in that printer too.,Personal Choice-Empowerment,Self Assertion-Empowerment
21,2,1,"ahhh man, you hear that breaking sound?  that's my balls, man!  come on.. how about five hundred, and yeah, I throw in the printer.",Hesitance-Hesitance,Self Assertion-Empowerment
22,3,0,"Alright, $325.  Printer, all the books and the wires hanging in the back.  Do you have a computer chair>",Self Assertion-Empowerment,Self Assertion-Empowerment
23,3,1,"sorry, man the books I need... and the chair stays how about the hutch and the printer.. 400.  that's my final offer",Self Assertion-Empowerment,Self Assertion-Empowerment
24,4,0,"$375, printer, hutch and you help loading?",Personal Choice-Empowerment,Self Assertion-Empowerment
25,4,1,"fine... I gotta your robbing me blind.  My kids will have to tighten their belts for the next week with all the money you're stealing from me.  but yeah, I'll do it",Self Pity-Empowement,Self Assertion-Empowerment
26,5,0,Pleasure doing business with you.  Give your kids my regards.,Not-a-strategy,Self Assertion-Empowerment
27,0,1,200 is a good price for this item,Not-a-strategy,Self Assertion-Empowerment
28,0,0,"It is too high for me, I was thinking more around 100",Self Pity-Empowement,Self Assertion-Empowerment
29,1,1,i just upgraded it so how about 165,Hesitance-Hesitance,Self Assertion-Empowerment
30,1,0,how old is the item?,Information Inquiry-Contesting,Self Assertion-Empowerment
31,2,1,i ot it a year ago,Not-a-strategy,Self Assertion-Empowerment
32,2,0,The price seems too high for  a used one. how about 120?,Counter Argumentation-Contesting,Self Assertion-Empowerment
33,3,1,140 and I will bring it to you right now,Personal Choice-Empowerment,Self Assertion-Empowerment
34,3,0,Do you have any speakers to throw in with it?,Information Inquiry-Contesting,Self Assertion-Empowerment
35,4,1,yes i do,Not-a-strategy,Self Assertion-Empowerment
36,4,0,oktereceiveradpeakerfor140,Not-a-strategy,Self Assertion-Empowerment
37,0,0,I'm really intersted in the chairs. Are there any scratches?,Source Derogation-Contesting,Self Assertion-Empowerment
38,0,1,There are a few minor scratches on some of the chairs,Not-a-strategy,Self Assertion-Empowerment
39,1,0,"How about the cushions, any holes?",Source Derogation-Contesting,Self Assertion-Empowerment
40,1,1,No.  We reupholstered them after we purchased the chairs last fall,Not-a-strategy,Self Assertion-Empowerment
41,2,0,Cool. I was hoping you would be willing to let them go for a little below your listed price.,Not-a-strategy,Self Assertion-Empowerment
42,2,1,"I'm willing to negotiate, but I'm not going to accept an unreasonable offer.  Even with the scratches they're still nice chairs!",Counter Argumentation-Contesting,Self Assertion-Empowerment
43,3,0,"I believe you. I want to make sure it's a fair price. You want about 26 per chair, I was hoping to get them for about 18 per chair.",Hesitance-Hesitance,Self Assertion-Empowerment
44,3,1,Would you be willing to split the difference at 22 per chair?,Hesitance-Hesitance,Self Assertion-Empowerment
45,4,0,I was hoping to pay less because I don't have a truck so I will need to pay a friend to pick them up.,Personal Choice-Empowerment,Self Assertion-Empowerment
46,4,1,"Well, I could deliver them a little bit further than Hayward, if that helps",Personal Choice-Empowerment,Self Assertion-Empowerment
47,5,0,That acutally would help. Would you be willing to do that for the $22 per chair?,Not-a-strategy,Self Assertion-Empowerment
48,5,1,Yes,Not-a-strategy,Self Assertion-Empowerment
49,6,0,"Great, I'm just a little outside of hayward in union city so it's not too far. Would tomorrow be good. I can work around your schedule.",Not-a-strategy,Self Assertion-Empowerment
50,6,1,"I'm free all day tomorrow, so that would work for me!",Not-a-strategy,Self Assertion-Empowerment
51,7,0,"Great, thanks. I'm going to input the offer now at $132.",Not-a-strategy,Self Assertion-Empowerment
52,7,1,Sounds good -- is that going to show up on my screen too?  Based on the instructions it looks like it should,Not-a-strategy,Self Assertion-Empowerment
53,0,1,"Hi there, how are you today?",Not-a-strategy,Self Assertion-Empowerment
54,0,0,What are the dimensions?,Information Inquiry-Contesting,Self Assertion-Empowerment
55,1,1,"40 by 60 inches . fairly large, in good condition.",Not-a-strategy,Self Assertion-Empowerment
56,1,0,Does the chair have rollers?,Information Inquiry-Contesting,Self Assertion-Empowerment
57,2,1,"yes, it does/",Not-a-strategy,Self Assertion-Empowerment
58,2,0,It's bigger than I had wanted but might be able to make it work. Would you take $30?,Not-a-strategy,Self Assertion-Empowerment
59,3,1,I would be wiling to do $40 with delivery included.,Personal Choice-Empowerment,Self Assertion-Empowerment
60,3,0,I can pick it up but thanks for offering. Best I could do is $32,Personal Choice-Empowerment,Self Assertion-Empowerment
61,4,1,$35and you have adeal.,Self Assertion-Empowerment,Self Assertion-Empowerment
62,4,0,"okay, $35",Not-a-strategy,Self Assertion-Empowerment
63,0,1,"Hi, are you interested?",Not-a-strategy,Self Assertion-Empowerment
64,0,0,Hi. I'm very interested in your add. Can you tell me a bit more about this bed frame? How long ago have you purchased it?,Information Inquiry-Contesting,Self Assertion-Empowerment
65,1,1,"Yes, got it a year ago.",Not-a-strategy,Self Assertion-Empowerment
66,1,0,What are the dimensions of it?,Information Inquiry-Contesting,Self Assertion-Empowerment
67,2,1,"I don't know the exact dimensions, I know it is a full or twin. It is a really great natural wood solid built frame.",Not-a-strategy,Self Assertion-Empowerment
68,2,0,Do you still have the mattress that went with it?,Information Inquiry-Contesting,Self Assertion-Empowerment
69,3,1,No I already had sold that off.,Not-a-strategy,Self Assertion-Empowerment
70,3,0,"Oh I see. I was willing to go a bit higher if that was available. This way I can only go up to about 110 dollars. Really sorry, I'm on a tight budget. Any wiggle room?",Self Pity-Empowement,Self Assertion-Empowerment
71,4,1,I could do 125?,Not-a-strategy,Self Assertion-Empowerment
72,4,0,That's a fair offer. But maybe if I pick it up myself you can go down to 114?,Personal Choice-Empowerment,Self Assertion-Empowerment
73,5,1,alright,Not-a-strategy,Self Assertion-Empowerment
74,0,1,Hello.,Not-a-strategy,Self Assertion-Empowerment
75,0,0,"Yes, hi. what is the condition of car?",Information Inquiry-Contesting,Self Assertion-Empowerment
76,1,1,"It's a salvage from a rear end accident, but everything has been fixed.",Not-a-strategy,Self Assertion-Empowerment
77,1,0,IS AC working allright?,Information Inquiry-Contesting,Self Assertion-Empowerment
78,2,1,"Yes, and it comes with certificates for smog, brakes, and lamps, as well as DMV VIN verification.",Not-a-strategy,Self Assertion-Empowerment
79,2,0,"It is salvage, so ican not resale it. Do you have papers and title?",Source Derogation-Contesting,Self Assertion-Empowerment
80,3,1,"Yes, all the paperwork is in order.",Not-a-strategy,Self Assertion-Empowerment
81,3,0,how much mileage does it give per gallon?,Information Inquiry-Contesting,Self Assertion-Empowerment
82,4,1,"it's about 21 avg (19 city 24 highway) and sorry for the delay, had to check.",Not-a-strategy,Self Assertion-Empowerment
83,4,0,"I would like to buy it for 12844, what do you think?",Hesitance-Hesitance,Self Assertion-Empowerment
84,5,1,"I don't think that's doable for me, that's nearly 25% off the list price. I can't go below 14,500.",Counter Argumentation-Contesting,Self Assertion-Empowerment
85,0,1,hi,Not-a-strategy,Self Assertion-Empowerment
86,0,0,hi,Not-a-strategy,Self Assertion-Empowerment
87,1,1,can you pay the 125,Source Derogation-Contesting,Self Assertion-Empowerment
88,1,0,No I can't. Would you be willing to go lower?,Self Pity-Empowement,Self Assertion-Empowerment
89,2,1,this  is very cool and rare 1970's  i would accept $115,Not-a-strategy,Self Assertion-Empowerment
90,2,0,what condition is it in?,Information Inquiry-Contesting,Self Assertion-Empowerment
91,3,1,ment condition,Not-a-strategy,Self Assertion-Empowerment
92,3,0,could you give to me for 100 if I offer to pick it up?,Personal Choice-Empowerment,Self Assertion-Empowerment
93,4,1,"yes that's works for me, what time and when",Not-a-strategy,Self Assertion-Empowerment
94,4,0,Whatever works for you,Not-a-strategy,Self Assertion-Empowerment
95,5,1,today t 1:30,Not-a-strategy,Self Assertion-Empowerment
96,5,0,ok great,Not-a-strategy,Self Assertion-Empowerment
97,6,1,thanks,Not-a-strategy,Self Assertion-Empowerment
98,6,0,thank you too,Not-a-strategy,Self Assertion-Empowerment
99,0,0,Hi,Not-a-strategy,Self Assertion-Empowerment
100,0,1,Hello! Are you interested in the couches?,Not-a-strategy,Self Assertion-Empowerment
101,1,0,"Yes I am, just a few questions, is this a non smoking home?",Information Inquiry-Contesting,Self Assertion-Empowerment
102,1,1,"Yes, it is. I bought these brand new and have made sure to keep them in a smoke-free environment.",Not-a-strategy,Self Assertion-Empowerment
103,2,0,And how long did you have them?,Information Inquiry-Contesting,Self Assertion-Empowerment
104,2,1,I've had them for just a few years. I can assure you completely that they are in great condition.,Not-a-strategy,Self Assertion-Empowerment
