,Turn,Speaker,Text,True,Pred
0,0,1,Hello,Not-a-strategy,Self Assertion-Empowerment
1,0,0,Hi there. I had a few questions about the phone you are selling.,Not-a-strategy,Self Assertion-Empowerment
2,1,1,Sure,Not-a-strategy,Self Assertion-Empowerment
3,1,0,How old is the phone? I don`t see it stated anywhere.,Counter Argumentation-Contesting,Self Assertion-Empowerment
4,2,1,2 years old,Not-a-strategy,Self Assertion-Empowerment
5,2,0,"Hmm ok. It says it`s like new, but 2 years old could possibly warrant a slightly lower price? Are you open for negotiation?",Hesitance-Hesitance,Self Assertion-Empowerment
6,3,1,Slightly,Not-a-strategy,Self Assertion-Empowerment
7,3,0,The highest I can offer is around 100 dollars. Is this too low?,Personal Choice-Empowerment,Self Assertion-Empowerment
8,4,1,Yes,Self Assertion-Empowerment,Self Assertion-Empowerment
9,4,0,What would be your lowest point?,Not-a-strategy,Self Assertion-Empowerment
10,0,0,Have the headphones been used?,Source Derogation-Contesting,Self Assertion-Empowerment
11,0,1,"No, they are new and very nice.",Not-a-strategy,Self Assertion-Empowerment
12,1,0,Can I use them with my gaming console?,Source Derogation-Contesting,Self Assertion-Empowerment
13,1,1,"Yes, you can.",Not-a-strategy,Self Assertion-Empowerment
14,2,0,Any of them?,Source Derogation-Contesting,Self Assertion-Empowerment
15,2,1,Yes.,Not-a-strategy,Self Assertion-Empowerment
16,3,0,Do you have one in a different color?,Source Derogation-Contesting,Self Assertion-Empowerment
17,3,1,"Yes, what color are you looking for?",Not-a-strategy,Self Assertion-Empowerment
18,4,0,Blue,Not-a-strategy,Self Assertion-Empowerment
19,4,1,I have that color.,Not-a-strategy,Self Assertion-Empowerment
20,5,0,Which color is this one? 125 a bit pricey,Source Derogation-Contesting,Self Assertion-Empowerment
21,5,1,This one is white.,Not-a-strategy,Self Assertion-Empowerment
22,6,0,"I guess it's a deal, lets see what happens if I accept",Not-a-strategy,Self Assertion-Empowerment
23,0,0,Hello how are you?,Not-a-strategy,Self Assertion-Empowerment
24,0,1,"good, how about you?",Not-a-strategy,Self Assertion-Empowerment
25,1,0,I am fine thanks.,Not-a-strategy,Self Assertion-Empowerment
26,1,1,are you interested in the case?,Not-a-strategy,Self Assertion-Empowerment
27,2,0,Yes is it brand new?,Source Derogation-Contesting,Self Assertion-Empowerment
28,2,1,absolutely and still in the package,Not-a-strategy,Self Assertion-Empowerment
29,3,0,Are these good if you drop the phone?,Source Derogation-Contesting,Self Assertion-Empowerment
30,3,1,yes,Not-a-strategy,Self Assertion-Empowerment
31,4,0,Can you still fit it in your pocket with the case on?,Source Derogation-Contesting,Self Assertion-Empowerment
32,4,1,yes,Not-a-strategy,Self Assertion-Empowerment
33,5,0,Is the price firm?,Not-a-strategy,Self Assertion-Empowerment
34,5,1,pretty much.  how much would you be willing to pay?,Not-a-strategy,Self Assertion-Empowerment
35,6,0,I would like to pay $22.,Self Assertion-Empowerment,Self Assertion-Empowerment
36,6,1,I'll accept 23.50,Not-a-strategy,Self Assertion-Empowerment
37,7,0,Ok I can do that.,Not-a-strategy,Self Assertion-Empowerment
38,7,1,we've got a deal!,Not-a-strategy,Self Assertion-Empowerment
