,Turn,Speaker,Text,True,Pred
0,0,0,What direction do the windows face in the apartment?,Information Inquiry-Contesting,Self Assertion-Empowerment
1,0,1,East,Not-a-strategy,Self Assertion-Empowerment
2,1,0,What floor is the apartment on?,Information Inquiry-Contesting,Self Assertion-Empowerment
3,1,1,first,Not-a-strategy,Self Assertion-Empowerment
4,2,0,How many parking places do I get?,Information Inquiry-Contesting,Self Assertion-Empowerment
5,2,1,one,Not-a-strategy,Self Assertion-Empowerment
6,3,0,What utilities are included in the rent?,Information Inquiry-Contesting,Self Assertion-Empowerment
7,3,1,water,Not-a-strategy,Self Assertion-Empowerment
8,4,0,How much are you asking for the rent?,Information Inquiry-Contesting,Self Assertion-Empowerment
9,4,1,"$1,800.00",Not-a-strategy,Self Assertion-Empowerment
10,5,0,Do I have to pay first and last month?,Information Inquiry-Contesting,Self Assertion-Empowerment
11,5,1,No,Not-a-strategy,Self Assertion-Empowerment
12,6,0,How about a security deposit?,Information Inquiry-Contesting,Self Assertion-Empowerment
13,6,1,Security deposit is $2000,Not-a-strategy,Self Assertion-Empowerment
14,7,0,I am willing to offer 1800 for the rent but only want to tie up 1500 as a security deposit.  Okay?,Hesitance-Hesitance,Self Assertion-Empowerment
15,7,1,how about 1800 for security deposit?,Hesitance-Hesitance,Self Assertion-Empowerment
16,8,0,Okay,Not-a-strategy,Self Assertion-Empowerment
17,0,0,Hi,Not-a-strategy,Self Assertion-Empowerment
18,0,1,Hello,Not-a-strategy,Self Assertion-Empowerment
19,1,0,can you tell me more about how long you've had the tablet?,Information Inquiry-Contesting,Self Assertion-Empowerment
20,1,1,I just got it like a month ago. It is brand new in the box. The tablet is in immaculate condition.,Not-a-strategy,Self Assertion-Empowerment
21,2,0,Do you still have the receipt?,Information Inquiry-Contesting,Self Assertion-Empowerment
22,2,1,Yes and it comes in the box. It is brand new never been opened. A charger is inside the box too.,Not-a-strategy,Self Assertion-Empowerment
23,3,0,Would you be willing to come down in price? I was thinking that I could take it off your hands for $73,Hesitance-Hesitance,Self Assertion-Empowerment
24,3,1,Could you do 75? I can bring it to you so you will not have to drive.,Personal Choice-Empowerment,Self Assertion-Empowerment
25,4,0,"Yeah, that sounds awesome.",Not-a-strategy,Self Assertion-Empowerment
26,4,1,Ok deal.,Not-a-strategy,Self Assertion-Empowerment
27,0,0,Does this TV really have a skewed wooden frame on it?,Source Derogation-Contesting,Self Assertion-Empowerment
28,0,1,Hi there no there is no wooden frame,Not-a-strategy,Self Assertion-Empowerment
29,1,0,okay because in the picture it looks cattywompous. what do you say to $350?,Hesitance-Hesitance,Self Assertion-Empowerment
30,1,1,"the tv is in perfect condition  the photo is just slightly askew  as it is in perfect condition i really do not want to go that low,",Counter Argumentation-Contesting,Self Assertion-Empowerment
31,2,0,does the doll house come with it?,Personal Choice-Empowerment,Self Assertion-Empowerment
32,2,1,"no i'm afraid not. but i can say there is absolutely nothing wrong with it, as if it just came out of the box today.",Not-a-strategy,Self Assertion-Empowerment
33,3,0,what do you say to $360 then?,Hesitance-Hesitance,Self Assertion-Empowerment
34,3,1,the tv retails for over 600 dollars i really don't want to go any lower then $375,Hesitance-Hesitance,Self Assertion-Empowerment
35,4,0,"hmmmm. you drive a hard bargain. okay $375 and the dollhouse, please. i have to have the doll house. i want the cattywompous setup!",Personal Choice-Empowerment,Self Assertion-Empowerment
36,4,1,HaHa sorry the dollhouse would be an extra $100 dollars,Self Assertion-Empowerment,Self Assertion-Empowerment
37,5,0,nooooooo. you're breaking my heart mister.  okay $400 and the dollhouse comes with? make my cattywompous life complete please sir.,Personal Choice-Empowerment,Self Assertion-Empowerment
38,5,1,sorry i would have to get my daughter a new one therefore i can not negotiate on the dolhouse,Self Pity-Empowement,Self Assertion-Empowerment
39,6,0,sigh. okay fine. $375 and now mr whiskers is homeless. i hope you're happy mister.,Not-a-strategy,Self Assertion-Empowerment
40,0,0,is it for adult?,Information Inquiry-Contesting,Self Assertion-Empowerment
41,0,1,yes it is,Not-a-strategy,Self Assertion-Empowerment
42,1,0,How will you deliver it to me?,Information Inquiry-Contesting,Self Assertion-Empowerment
43,1,1,"we can find a way,what would you like ?",Not-a-strategy,Self Assertion-Empowerment
44,2,0,Let me think. Can you negotiate?,Not-a-strategy,Self Assertion-Empowerment
45,2,1,yes,Not-a-strategy,Self Assertion-Empowerment
46,3,0,I am willing to get it for $912.,Hesitance-Hesitance,Self Assertion-Empowerment
47,3,1,thats sounds good,Not-a-strategy,Self Assertion-Empowerment
48,4,0,"Ok. Then, Can you bring it somewhere at public place?",Personal Choice-Empowerment,Self Assertion-Empowerment
49,4,1,yes of course,Not-a-strategy,Self Assertion-Empowerment
50,5,0,ok then deal is done. I will see you at walmart parking lot at 12 pm.,Not-a-strategy,Self Assertion-Empowerment
51,5,1,you got it,Not-a-strategy,Self Assertion-Empowerment
52,6,0,thank you,Not-a-strategy,Self Assertion-Empowerment
53,0,1,"Hello, I would like to offer this item for sale at 2900.  It is listed for 3400 and it even comes with a free fence!",Not-a-strategy,Self Assertion-Empowerment
54,0,0,It is very cute. How many bed rooms?,Information Inquiry-Contesting,Self Assertion-Empowerment
55,1,1,"It has 2, but you can convert the office into 3 if you need to.",Not-a-strategy,Self Assertion-Empowerment
56,1,0,How many baths?,Information Inquiry-Contesting,Self Assertion-Empowerment
57,2,1,It has 1 full bath in the master bedroom and 1/2 bath in the hallway.,Not-a-strategy,Self Assertion-Empowerment
58,2,0,Ok. I have looked up comps in the area and I feel like a more fair price for this is 2000,Counter Argumentation-Contesting,Self Assertion-Empowerment
59,3,1,"That is a fair price, however, I am willing to allow pets, which no one has ever offered before, plus I will pay your closing costs.  How does 2795 sound?",Personal Choice-Empowerment,Self Assertion-Empowerment
60,3,0,That really is far out of my reach. How about 2100,Self Pity-Empowement,Self Assertion-Empowerment
