,Turn,Speaker,Text,True,Pred,Don_true,Don_pred
0,0,0,What direction do the windows face in the apartment?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.27545663714408875
1,0,1,East,Not-a-strategy,Not-a-strategy,0,0.6029117703437805
2,1,0,What floor is the apartment on?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.4099433422088623
3,1,1,first,Not-a-strategy,Not-a-strategy,0,0.5412827730178833
4,2,0,How many parking places do I get?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.3951228857040405
5,2,1,one,Not-a-strategy,Not-a-strategy,0,0.5376099348068237
6,3,0,What utilities are included in the rent?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.3942454159259796
7,3,1,water,Not-a-strategy,Not-a-strategy,0,0.4176313281059265
8,4,0,How much are you asking for the rent?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.36598509550094604
9,4,1,"$1,800.00",Not-a-strategy,Not-a-strategy,0,0.6301213502883911
10,5,0,Do I have to pay first and last month?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.41654086112976074
11,5,1,No,Not-a-strategy,Not-a-strategy,0,0.4304354190826416
12,6,0,How about a security deposit?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.6203716397285461
13,6,1,Security deposit is $2000,Not-a-strategy,Not-a-strategy,0,0.47125381231307983
14,7,0,I am willing to offer 1800 for the rent but only want to tie up 1500 as a security deposit.  Okay?,Hesitance-Hesitance,Hesitance-Hesitance,0,0.3785146474838257
15,7,1,how about 1800 for security deposit?,Hesitance-Hesitance,Hesitance-Hesitance,0,0.36500075459480286
16,8,0,Okay,Not-a-strategy,Not-a-strategy,0,0.41245201230049133
17,0,0,Hi,Not-a-strategy,Not-a-strategy,0,0.3204614818096161
18,0,1,Hello,Not-a-strategy,Not-a-strategy,0,0.3607485294342041
19,1,0,can you tell me more about how long you've had the tablet?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.3515346050262451
20,1,1,I just got it like a month ago. It is brand new in the box. The tablet is in immaculate condition.,Not-a-strategy,Not-a-strategy,0,0.36746788024902344
21,2,0,Do you still have the receipt?,Information Inquiry-Contesting,Information Inquiry-Contesting,0,0.348199725151062
22,2,1,Yes and it comes in the box. It is brand new never been opened. A charger is inside the box too.,Not-a-strategy,Not-a-strategy,0,0.3666788637638092
23,3,0,Would you be willing to come down in price? I was thinking that I could take it off your hands for $73,Hesitance-Hesitance,Hesitance-Hesitance,0,0.3480207324028015
24,3,1,Could you do 75? I can bring it to you so you will not have to drive.,Personal Choice-Empowerment,Personal Choice-Empowerment,0,0.34863871335983276
25,4,0,"Yeah, that sounds awesome.",Not-a-strategy,Not-a-strategy,0,0.3829086124897003
26,4,1,Ok deal.,Not-a-strategy,Not-a-strategy,0,0.4681040346622467
27,0,0,Does this TV really have a skewed wooden frame on it?,Source Derogation-Contesting,Source Derogation-Contesting,1,0.3401249945163727
28,0,1,Hi there no there is no wooden frame,Not-a-strategy,Not-a-strategy,1,0.7734339237213135
29,1,0,okay because in the picture it looks cattywompous. what do you say to $350?,Hesitance-Hesitance,Not-a-strategy,1,0.4452754259109497
30,1,1,"the tv is in perfect condition  the photo is just slightly askew  as it is in perfect condition i really do not want to go that low,",Counter Argumentation-Contesting,Not-a-strategy,1,0.7670844197273254
31,2,0,does the doll house come with it?,Personal Choice-Empowerment,Information Inquiry-Contesting,1,0.44370758533477783
