,Turn,Text,True,Pred,Don_true,Don_pred
0,0,Hello,0,0,0,0.47951650619506836
1,0,Hi there. I had a few questions about the phone you are selling.,0,0,0,0.5978890657424927
2,0,Sure,0,0,0,0.7114111185073853
3,0,How old is the phone? I don`t see it stated anywhere.,2,2,0,0.4284728467464447
4,0,2 years old,0,0,0,0.3613636791706085
5,0,"Hmm ok. It says it`s like new, but 2 years old could possibly warrant a slightly lower price? Are you open for negotiation?",4,4,0,0.34555497765541077
6,0,Slightly,0,0,0,0.34227633476257324
7,0,The highest I can offer is around 100 dollars. Is this too low?,6,3,0,0.3413645029067993
8,0,Yes,3,0,0,0.34149307012557983
9,0,What would be your lowest point?,0,0,0,0.46671080589294434
10,0,Have the headphones been used?,1,2,1,0.34660521149635315
11,0,"No, they are new and very nice.",0,0,1,0.34306299686431885
12,0,Can I use them with my gaming console?,1,1,1,0.6812442541122437
13,0,"Yes, you can.",0,0,1,0.46750152111053467
14,0,Any of them?,1,0,1,0.4871300756931305
15,0,Yes.,0,0,1,0.4247198700904846
16,0,Do you have one in a different color?,1,1,1,0.5525334477424622
17,0,"Yes, what color are you looking for?",0,0,1,0.42823857069015503
18,0,Blue,0,0,1,0.4106828570365906
19,0,I have that color.,0,0,1,0.4063103199005127
20,0,Which color is this one? 125 a bit pricey,1,1,1,0.5128397941589355
21,0,This one is white.,0,0,1,0.3894006907939911
22,0,"I guess it's a deal, lets see what happens if I accept",0,0,1,0.3576602637767792
23,0,Hello how are you?,0,0,0,0.28634557127952576
24,0,"good, how about you?",0,0,0,0.34496763348579407
25,0,I am fine thanks.,0,0,0,0.4610612392425537
26,0,are you interested in the case?,0,0,0,0.36912932991981506
27,0,Yes is it brand new?,1,1,0,0.35410401225090027
28,0,absolutely and still in the package,0,0,0,0.3466055393218994
29,0,Are these good if you drop the phone?,1,1,0,0.34896960854530334
30,0,yes,0,0,0,0.35025182366371155
31,0,Can you still fit it in your pocket with the case on?,1,1,0,0.3497984707355499
32,0,yes,0,0,0,0.4047876000404358
33,0,Is the price firm?,0,0,0,0.3673543632030487
34,0,pretty much.  how much would you be willing to pay?,0,0,0,0.3763374388217926
35,0,I would like to pay $22.,3,3,0,0.3496273458003998
36,0,I'll accept 23.50,0,3,0,0.3435795307159424
37,0,Ok I can do that.,0,0,0,0.3470340073108673
38,0,we've got a deal!,0,0,0,0.7761504650115967
39,0,i am interested in your bike,0,0,1,0.2690262198448181
40,0,Great it is for sale,0,0,1,0.3250756859779358
41,0,will you be delivering it?,1,1,1,0.337491512298584
42,0,I sure will,0,0,1,0.3402731418609619
43,0,and how much are you selling it for?,0,1,1,0.5175333023071289
44,0,600,3,0,1,0.38656356930732727
45,0,that is too high cant you come lower,0,2,1,0.351552277803421
46,0,My final offer is 550.,6,6,1,0.4040133059024811
47,0,how good is the condition?,1,2,1,0.3562159538269043
48,0,Mint and it looks like new; aircraft alluminum and size 56.,0,0,1,0.3444890081882477
49,0,how about for 400?,3,3,1,0.3426853120326996
50,0,Sorry but my wife won't let me go below $550.,3,6,1,0.5181198120117188
51,0,and that is too high for me,6,7,1,0.3819100260734558
52,0,So you're looking at this sweet bike...,0,0,0,0.7100611329078674
53,0,Hi I am interested in the bike and would like to offer $420.,3,3,0,0.42986994981765747
54,0,"I'm really hesitant to part with it for less than 450, though 420 is definitely a good number.",3,6,0,0.5272179841995239
55,0,"It is a nice bike, but I am not a fan of the Benny Bars, so I would have to spend some money to change them out.",4,4,0,0.805792510509491
56,0,"I understand, though those Benny bars are pretty appealing to a lot of people.",0,4,0,0.8568545579910278
57,0,Let's meet in the middle. How about $435?,3,3,0,0.5200567245483398
58,0,440 and you got a deal.,6,6,0,0.8046693801879883
59,0,I like to get a little bargain. What about $438?,3,3,0,0.5964391827583313
60,0,"All right, $438 for a happy customer. Nice doing business!",0,4,0,0.40245091915130615
61,0,Deal!!!,0,0,0,0.7999633550643921
62,0,hi,0,0,0,0.2689703106880188
63,0,Let's make a deal,0,0,0,0.3250010013580322
64,0,this desk is very well maintained and like new,0,0,0,0.33741119503974915
65,0,"Great. I can pick it up in the next hour if we can agree on a price. 140 is too steep, though",5,4,0,0.5729721784591675
66,0,yes if you pick it up i can go for $125,5,5,0,0.6293779015541077
67,0,Not bad. I'm looking at a few but this is a little small for my needs. Price will determine if I buy,4,7,0,0.5694301724433899
68,0,i can make you a final offer of $120,6,6,0,0.6285513639450073
69,0,100 in cash right now,5,0,0,0.539934515953064
70,0,$115 and you pick up and you gotta a deal,5,5,0,0.4344567358493805
71,0,"No can do. Looks great, best of luck to you",6,0,0,0.5211935043334961
72,0,Hello.,0,0,1,0.47431066632270813
73,0,Hello how are you,0,0,1,0.3961809277534485
74,0,"Well, I'm interested in this track bike.",0,0,1,0.35420843958854675
75,0,I'm asking $600,0,0,1,0.3943740427494049
76,0,"Well, are there any problems with the bike?",2,2,1,0.3533020615577698
77,0,"Nothing at all, it's a great track bike and critical bike",0,0,1,0.344216525554657
78,0,"So, why are you interested in selling the bicycle?",2,2,1,0.34174615144729614
79,0,I am needin some extra money and I just bought a new bike last weekend,0,0,1,0.3415854275226593
80,0,"Well, I suppose I could take the bike off your hands for $375.",3,5,1,0.3413363993167877
81,0,"I am needing at least 500 for it, it's basically brand new",4,4,1,0.34105369448661804
82,0,"I could go up to $450, and I'd be willing to come pick it up tonight.",5,5,1,0.34170207381248474
83,0,"Ok that will work out, it's sold to you. What time would u like to pick it up",1,0,1,0.6697688698768616
84,0,"Well, it's 1:30 a.m. I guess I could be there any time, so wait up.",0,0,1,0.7372123599052429
85,0,Hey so I'm interested in the TV cart. Is there anything wrong?,2,2,0,0.3815043568611145
86,0,no works great,0,0,0,0.35306331515312195
87,0,"Ok, but there's no picture. I'm iffy about the condition, and it's used. $300 is too high, $100 is more in the ballpark for me.",4,2,0,0.4675196707248688
88,0,$150 and we got a deal,6,0,0,0.4691545367240906
89,0,Are there any other items you could throw in?,5,5,0,0.3704310357570648
90,0,all the items are listed,0,0,0,0.3477165102958679
91,0,"Well I need you to deliver then, and meet me in the middle at $125.",5,5,0,0.3425826132297516
92,0,$135 is the lowest i can go,6,6,0,0.693476676940918
93,0,$130 please I only have $130 in my budget this month.,7,7,0,0.42408013343811035
94,0,ok $130,0,0,0,0.3713540732860565
95,0,thanks,0,0,0,0.3573448061943054
96,0,Hello I am interested in this chair. I have a couple of questions first. Did you make this chair yourself?,1,1,1,0.2690920829772949
97,0,"Yes I did, with the finest denim in all of the land",0,0,1,0.32731616497039795
98,0,"Was it new denim, or were they someone's funky old worn out jeans?",2,2,1,0.33806756138801575
99,0,Someone's LOVELY jeans.  Recycling helps mother earth!,0,0,1,0.34267863631248474
100,0,Well I do like to help mother earth... do you have any matching pieces like end tables or night stands?,1,1,1,0.3415893018245697
101,0,"ALas, I do not.  It was a one of a kind.  My muse has since moved on to other projects.",0,0,1,0.3434736728668213
102,0,"Alright, would you be willing to negotiate the price at all, I could offer about 60 for this chair...",3,3,1,0.3416926860809326
103,0,$60 Dollary-Doo's for my sweat and toil?  You wound me.  $82 at least.,4,0,1,0.3414826989173889
104,0,Well.. 82 is still a bit too high for me... If I pick it up in person could you consider 75?,5,5,1,0.3410768508911133
105,0,I mean I guess.  It's like my first born child...,0,0,1,0.3420695960521698
106,0,Hi!,0,0,0,0.5459952354431152
107,0,Hi how are you this morning. I would really like to convert my bicycle into a moped.,0,0,0,0.5356633067131042
