,Turn,Speaker,Text,True,Pred
0,0,1,Hello!,Not-a-strategy,Information Inquiry-Contesting
1,1,1,I will have no discomfort discussing suffering people.,Not-a-strategy,Information Inquiry-Contesting
2,2,1,I feel really torn about the crisis.,Not-a-strategy,Information Inquiry-Contesting
3,2,1,I don't think the weight of that burden should fall on the rest of the worlds shoulders.,Counter Argumentation-Contesting,Information Inquiry-Contesting
4,2,1,At the same time as a parent I would want the best possible future for my children and I know fiercly that I would do everything in my power to make sure they were in a safe place.,Self Assertion-Empowerment,Information Inquiry-Contesting
5,3,1,I always wonder how much of donations actually go where ear marked.,Personal Choice-Empowerment,Information Inquiry-Contesting
6,3,1,"I see on the local level how much of donations stay local and what gets spent on things I would call ""stupid"".",Personal Choice-Empowerment,Information Inquiry-Contesting
7,3,1,I am always worried if I donate it will just go to some higer up that is living the high life.,Personal Choice-Empowerment,Information Inquiry-Contesting
8,3,1,Sorry Im getting off topic.,Not-a-strategy,Information Inquiry-Contesting
9,4,1,With that all said I do feel like any orginazation that aims to help the children I am more inclined to donate to them than most.,Self Assertion-Empowerment,Information Inquiry-Contesting
10,4,1,My boss has a sponsored child that she sends money to every month.,Not-a-strategy,Information Inquiry-Contesting
11,4,1,SHe picked out a child with the same birth month as one of her kids.,Not-a-strategy,Information Inquiry-Contesting
12,4,1,I think helping children is an important thing as they are our future!,Not-a-strategy,Information Inquiry-Contesting
13,5,1,I think donating to this cause would def be a step in the right direction to hopefully helping across the world the children that are in dispair.,Not-a-strategy,Information Inquiry-Contesting
14,5,1,They are the weak ones in my eyes.,Not-a-strategy,Information Inquiry-Contesting
15,6,1,I think its just the perspective of the person but we all inheriently want to help as much as we can.,Not-a-strategy,Information Inquiry-Contesting
16,6,1,I would donate half of this hit payment to this charity and feel good about it I think.,Not-a-strategy,Information Inquiry-Contesting
17,7,1,I think I would feel good about half and if you are inclined to donate as well that would be fabulous.,Not-a-strategy,Information Inquiry-Contesting
18,7,1,I would lock into half.,Not-a-strategy,Information Inquiry-Contesting
19,8,1,I agree if we don't take care of the kids we risk losing a whole generation of people!,Not-a-strategy,Information Inquiry-Contesting
20,9,1,Thanks for talking me thru this today!,Not-a-strategy,Information Inquiry-Contesting
21,9,1,It is been enlightning!,Not-a-strategy,Information Inquiry-Contesting
22,0,1,"Oh yeah, I donate to world vision, its the best for kids",Self Assertion-Empowerment,Information Inquiry-Contesting
23,1,1,"oh wow, that sounds important",Not-a-strategy,Information Inquiry-Contesting
24,2,1,who do they help,Hesitance-Hesitance,Information Inquiry-Contesting
25,3,1,wow that is a huge number isnt it,Counter Argumentation-Contesting,Information Inquiry-Contesting
26,4,1,do they help children in africa,Hesitance-Hesitance,Information Inquiry-Contesting
27,5,1,do they take donations,Personal Choice-Empowerment,Information Inquiry-Contesting
28,6,1,do you donate to them?,Counter Argumentation-Contesting,Information Inquiry-Contesting
29,7,1,how much should i give,Not-a-strategy,Information Inquiry-Contesting
30,8,1,will you also give some money today?,Counter Argumentation-Contesting,Information Inquiry-Contesting
31,9,1,if you give 1 dollar i will also give 1 dollar,Counter Argumentation-Contesting,Information Inquiry-Contesting
32,0,1,Why yes I have.,Not-a-strategy,Information Inquiry-Contesting
33,0,1,Do you represent them?,Hesitance-Hesitance,Information Inquiry-Contesting
34,1,1,"I've been thinking of donating to charity, but I could never find the right one.",Self Assertion-Empowerment,Information Inquiry-Contesting
35,2,1,Oh really?,Not-a-strategy,Information Inquiry-Contesting
36,2,1,I honestly had no idea.,Source Derogation-Contesting,Information Inquiry-Contesting
37,3,1,Well being that im kind of a poor person myself im kind of in the same boat as the children lol.,Information Inquiry-Contesting,Information Inquiry-Contesting
38,3,1,I'd be fine with donating $1.00 though and i'd keep the other.,Not-a-strategy,Information Inquiry-Contesting
39,4,1,Well yeah that's why im giving them the dollar?,Source Derogation-Contesting,Information Inquiry-Contesting
40,4,1,lol,Not-a-strategy,Information Inquiry-Contesting
41,5,1,Darn really gonna make me miss out on that bad of chips huh?...lol how about $1.15 and you have yourself a deal...,Information Inquiry-Contesting,Information Inquiry-Contesting
42,6,1,Where does the other 10 cents go then?...and I guess it's a good thing I decided to give them that dollar then =),Personal Choice-Empowerment,Information Inquiry-Contesting
43,7,1,Makes sense you gotta keep the engine running.,Not-a-strategy,Information Inquiry-Contesting
44,7,1,Well I hope that my $1.10 helps those poor children and when i dont need to rely on HITs for money i'd love to donate more.,Not-a-strategy,Information Inquiry-Contesting
45,8,1,Finnnnnne take the $1.25.,Not-a-strategy,Information Inquiry-Contesting
46,8,1,But if I die from starvation...its your fault <_<,Information Inquiry-Contesting,Information Inquiry-Contesting
47,9,1,While im in the grave cause I didnt have enough money to buy that bag of chips....,Information Inquiry-Contesting,Information Inquiry-Contesting
48,0,1,"Good, how are you?",Not-a-strategy,Information Inquiry-Contesting
