,Turn,Speaker,Text,True,Pred
0,0,1,Hi there how are you?,Not-a-strategy,Information Inquiry-Contesting
1,1,1,"I am doing fine, thanks for asking.",Not-a-strategy,Information Inquiry-Contesting
2,2,1,You sure can,Not-a-strategy,Information Inquiry-Contesting
3,3,1,I don't have any children but there are many children in my family.,Not-a-strategy,Information Inquiry-Contesting
4,4,1,"I do have a big family, I enjoy it at times, other times I don't",Not-a-strategy,Information Inquiry-Contesting
5,5,1,Yes I do.,Not-a-strategy,Information Inquiry-Contesting
6,6,1,No I haven't.,Not-a-strategy,Information Inquiry-Contesting
7,6,1,Could you QUICKLY tell me about it,Hesitance-Hesitance,Information Inquiry-Contesting
8,7,1,Okay that sounds nice and an important service,Not-a-strategy,Information Inquiry-Contesting
9,8,1,I would like to help in the future when I am more financially stable.,Personal Choice-Empowerment,Information Inquiry-Contesting
10,9,1,I am sure but I just am not able at this time,Personal Choice-Empowerment,Information Inquiry-Contesting
11,0,1,"Hello, yes I have but I am not sure what the charity works towards",Hesitance-Hesitance,Information Inquiry-Contesting
12,1,1,Ah ok very nice.,Not-a-strategy,Information Inquiry-Contesting
13,1,1,It sounds like a good charity.,Not-a-strategy,Information Inquiry-Contesting
14,1,1,Are you thinking of donating to it?,Counter Argumentation-Contesting,Information Inquiry-Contesting
15,2,1,"Yes, I definitely understand you.",Not-a-strategy,Information Inquiry-Contesting
16,2,1,It is very difficult to see on the news what is happening in Syria and the violence and terrorism that is going on in the country,Counter Argumentation-Contesting,Information Inquiry-Contesting
17,3,1,Yes that is very true.,Not-a-strategy,Information Inquiry-Contesting
18,3,1,I usually donate $1.00 or $2.00 at restaurants or stores whenever they ask me if I would like to donate.,Self Assertion-Empowerment,Information Inquiry-Contesting
19,3,1,I think it is the least I could do.,Not-a-strategy,Information Inquiry-Contesting
20,4,1,Yes I understand.,Not-a-strategy,Information Inquiry-Contesting
21,4,1,I have been to third world countries in South America and seeing the living conditions of some people is very tough.,Not-a-strategy,Information Inquiry-Contesting
22,4,1,The poverty there is a lot higher than what we are used to seeing and it can be shocking.,Not-a-strategy,Information Inquiry-Contesting
23,5,1,Yes I know.,Not-a-strategy,Information Inquiry-Contesting
24,5,1,Any amount of money can help.,Not-a-strategy,Information Inquiry-Contesting
25,5,1,"I think that we take many things for granted such as running water, and always having food on the table.",Not-a-strategy,Information Inquiry-Contesting
26,6,1,"Yes, I would be willing to donate a small portion as well.",Not-a-strategy,Information Inquiry-Contesting
27,6,1,I think it would really help them out,Not-a-strategy,Information Inquiry-Contesting
28,7,1,"Ok, that's great.",Not-a-strategy,Information Inquiry-Contesting
29,7,1,I happy to help them.,Not-a-strategy,Information Inquiry-Contesting
30,7,1,Every month I always try to donate a little to charity,Self Assertion-Empowerment,Information Inquiry-Contesting
31,8,1,I would like to donate $.50,Not-a-strategy,Information Inquiry-Contesting
32,9,1,Yes anything I can do to help.,Not-a-strategy,Information Inquiry-Contesting
33,9,1,I hope that it makes a difference!,Not-a-strategy,Information Inquiry-Contesting
34,0,1,I don't know I haven't found anyone good ones,Information Inquiry-Contesting,Information Inquiry-Contesting
35,1,1,"No, I have never hear of it",Not-a-strategy,Information Inquiry-Contesting
36,2,1,Do they help children right here in America,Hesitance-Hesitance,Information Inquiry-Contesting
37,3,1,That is awesome.,Not-a-strategy,Information Inquiry-Contesting
38,3,1,I am more willing to help a charity that will help right here in America,Self Assertion-Empowerment,Information Inquiry-Contesting
39,4,1,"I would like to, but I really can afford to donate anything right now.",Personal Choice-Empowerment,Information Inquiry-Contesting
40,5,1,I don't understand what you mean,Not-a-strategy,Information Inquiry-Contesting
41,6,1,"Yes, it sounds like a good charity.",Not-a-strategy,Information Inquiry-Contesting
42,7,1,"Yes, I have.",Not-a-strategy,Information Inquiry-Contesting
43,7,1,Some don't give the money out like they are suppose to.,Counter Argumentation-Contesting,Information Inquiry-Contesting
44,8,1,"No, I have not hear that",Not-a-strategy,Information Inquiry-Contesting
45,9,1,How does me saying I will donate fake money make a good impression for future hits.,Not-a-strategy,Information Inquiry-Contesting
46,0,1,Hello.,Not-a-strategy,Information Inquiry-Contesting
47,0,1,I hope you are well.,Not-a-strategy,Information Inquiry-Contesting
48,1,1,I think it is very important to help children that are less fortunate.,Not-a-strategy,Information Inquiry-Contesting
49,1,1,"Tell me more about ""Save the children.""",Hesitance-Hesitance,Information Inquiry-Contesting
50,2,1,What service does this charity provide?,Hesitance-Hesitance,Information Inquiry-Contesting
51,3,1,I like the sound of that.,Not-a-strategy,Information Inquiry-Contesting
52,3,1,Does it work by sponsoring a specific child who you get to know or does everything run through the organization?,Hesitance-Hesitance,Information Inquiry-Contesting
53,4,1,That makes sense and I do like the money to be spread to everyone.,Not-a-strategy,Information Inquiry-Contesting
54,4,1,Is this primarily in African and South America?,Hesitance-Hesitance,Information Inquiry-Contesting
55,5,1,How do we know that our donation is reaching those in need?,Information Inquiry-Contesting,Information Inquiry-Contesting
56,6,1,I hope that is the case as I hate to read about children in danger.,Not-a-strategy,Information Inquiry-Contesting
57,6,1,Is this donation a one-time thing?,Hesitance-Hesitance,Information Inquiry-Contesting
58,7,1,I think I could donate $5.00.,Not-a-strategy,Information Inquiry-Contesting
59,8,1,You are welcome,Not-a-strategy,Information Inquiry-Contesting
60,9,1,I hope you have a great day as well!,Not-a-strategy,Information Inquiry-Contesting
61,0,1,I'm doing well thank you,Not-a-strategy,Information Inquiry-Contesting
62,1,1,That is absolutely terrible.,Not-a-strategy,Information Inquiry-Contesting
63,1,1,Are there any good charities that are helping on this issue?,Hesitance-Hesitance,Information Inquiry-Contesting
64,2,1,How can someone help?,Not-a-strategy,Information Inquiry-Contesting
65,2,1,I would be willing to donate my time and perhaps some money.,Not-a-strategy,Information Inquiry-Contesting
66,3,1,How exactly does the money help the cause?,Hesitance-Hesitance,Information Inquiry-Contesting
67,3,1,What's it spent on?,Hesitance-Hesitance,Information Inquiry-Contesting
68,4,1,I'd be willing to donate a dollar or two,Not-a-strategy,Information Inquiry-Contesting
69,5,1,Perfect.,Not-a-strategy,Information Inquiry-Contesting
70,5,1,How do I donate then?,Hesitance-Hesitance,Information Inquiry-Contesting
71,6,1,You need to type faster.,Not-a-strategy,Information Inquiry-Contesting
72,6,1,Our HITs are going to expire on us.,Not-a-strategy,Information Inquiry-Contesting
73,6,1,"I'd rather send the money on my accord, rather than have it deducted.",Not-a-strategy,Information Inquiry-Contesting
74,6,1,Where can I go to send it?,Hesitance-Hesitance,Information Inquiry-Contesting
75,7,1,Ok i'll check it out.,Not-a-strategy,Information Inquiry-Contesting
76,7,1,thank you.,Not-a-strategy,Information Inquiry-Contesting
77,8,1,I'll donate right away.,Not-a-strategy,Information Inquiry-Contesting
78,8,1,thank you.,Not-a-strategy,Information Inquiry-Contesting
79,8,1,Are you going to donate too?,Counter Argumentation-Contesting,Information Inquiry-Contesting
80,9,1,Awesome.,Not-a-strategy,Information Inquiry-Contesting
81,9,1,Have a wonderful day.,Not-a-strategy,Information Inquiry-Contesting
82,9,1,I hope those kids get the money they need.,Not-a-strategy,Information Inquiry-Contesting
83,0,1,"Hey, I am doing well",Not-a-strategy,Information Inquiry-Contesting
84,1,1,That is terrible.,Not-a-strategy,Information Inquiry-Contesting
85,1,1,Are there any charities that work in that area?,Hesitance-Hesitance,Information Inquiry-Contesting
86,2,1,It hurts my heart when I see those children's charity commercials.,Not-a-strategy,Information Inquiry-Contesting
87,3,1,30 dollars a month can change a child's life,Not-a-strategy,Information Inquiry-Contesting
88,4,1,I know!,Not-a-strategy,Information Inquiry-Contesting
89,4,1,What a worthwhile cause!,Not-a-strategy,Information Inquiry-Contesting
90,5,1,"Yeah, I have used Gospel for Asia in the past",Self Assertion-Empowerment,Information Inquiry-Contesting
91,6,1,It feels good to make a difference if only for one child,Not-a-strategy,Information Inquiry-Contesting
92,7,1,That is freat!!,Not-a-strategy,Information Inquiry-Contesting
93,7,1,Good for you!,Not-a-strategy,Information Inquiry-Contesting
94,8,1,I may donate something!!,Not-a-strategy,Information Inquiry-Contesting
95,9,1,I am not sure,Source Derogation-Contesting,Information Inquiry-Contesting
96,0,1,"Sure, as long as you can help me out as well... you see, I have a child that is overseas, in a warzone.",Personal Choice-Empowerment,Information Inquiry-Contesting
97,0,1,they are hungry and injured and also short,Personal Choice-Empowerment,Information Inquiry-Contesting
98,1,1,"yeah, i mean, i guess",Not-a-strategy,Information Inquiry-Contesting
99,2,1,what is save the children,Hesitance-Hesitance,Information Inquiry-Contesting
100,3,1,do they help lots of kids,Hesitance-Hesitance,Information Inquiry-Contesting
101,4,1,do they help kids in africa too,Hesitance-Hesitance,Information Inquiry-Contesting
102,5,1,do they provide medical help too though?,Hesitance-Hesitance,Information Inquiry-Contesting
103,6,1,"I see, and it's called Save the Children",Not-a-strategy,Information Inquiry-Contesting
104,7,1,Do they help adults?,Hesitance-Hesitance,Information Inquiry-Contesting
105,8,1,"I see, and do they provide medical help as well?",Hesitance-Hesitance,Information Inquiry-Contesting
106,9,1,"If you can promise me that none of the money will go to help ANY Muslim child, then I will donate two dollars from my payment",Information Inquiry-Contesting,Information Inquiry-Contesting
107,10,1,"then unfortunately, i cannot give any money",Self Pity-Empowement,Information Inquiry-Contesting
108,0,1,Do nothing about what?,Hesitance-Hesitance,Information Inquiry-Contesting
109,1,1,That's awful.,Not-a-strategy,Information Inquiry-Contesting
110,1,1,Are you talking about around the world or in the states?,Hesitance-Hesitance,Information Inquiry-Contesting
111,2,1,I totally agree.,Not-a-strategy,Information Inquiry-Contesting
112,2,1,There are people helping but its a drop in the bucket.,Not-a-strategy,Information Inquiry-Contesting
113,2,1,The kids dying is really disturbing.,Not-a-strategy,Information Inquiry-Contesting
114,2,1,They didn't choose that life.,Not-a-strategy,Information Inquiry-Contesting
115,3,1,Absolutely!,Not-a-strategy,Information Inquiry-Contesting
116,3,1,I think every little bit helps but as a whole it's not enough.,Not-a-strategy,Information Inquiry-Contesting
117,3,1,Have you ever donated?,Counter Argumentation-Contesting,Information Inquiry-Contesting
118,4,1,That is great!,Not-a-strategy,Information Inquiry-Contesting
119,4,1,you sound very passionate about this subject.,Not-a-strategy,Information Inquiry-Contesting
120,4,1,I should do more to help.,Not-a-strategy,Information Inquiry-Contesting
121,5,1,That is an incredible figure!!!,Not-a-strategy,Information Inquiry-Contesting
122,5,1,62% is amazing.,Not-a-strategy,Information Inquiry-Contesting
123,5,1,What is the charity?,Hesitance-Hesitance,Information Inquiry-Contesting
124,5,1,I may consider a donation.,Not-a-strategy,Information Inquiry-Contesting
125,6,1,That is convenient!!!,Not-a-strategy,Information Inquiry-Contesting
126,6,1,I will definitely do that.,Not-a-strategy,Information Inquiry-Contesting
127,6,1,At least a portion of it.,Not-a-strategy,Information Inquiry-Contesting
128,7,1,I need to think about it.,Source Derogation-Contesting,Information Inquiry-Contesting
129,8,1,I hear ya!,Not-a-strategy,Information Inquiry-Contesting
130,8,1,I will donate I'm just not sure how much.,Source Derogation-Contesting,Information Inquiry-Contesting
131,9,1,Thank you!,Not-a-strategy,Information Inquiry-Contesting
132,9,1,you have been great.,Not-a-strategy,Information Inquiry-Contesting
133,0,1,I DO,Not-a-strategy,Information Inquiry-Contesting
134,1,1,"To church, I return tithes and I also do the offerings",Self Assertion-Empowerment,Information Inquiry-Contesting
135,2,1,"no, can you tell me more about it?",Hesitance-Hesitance,Information Inquiry-Contesting
136,3,1,nice!,Not-a-strategy,Information Inquiry-Contesting
137,3,1,I have a child so i'm all about helping kids,Not-a-strategy,Information Inquiry-Contesting
