,Turn,Speaker,Text,True,Pred
0,0,0,HJi how old is the bike?,Information Inquiry-Contesting,Self Assertion-Empowerment
1,0,1,"Hi there, are you interested in the bike?",Not-a-strategy,Self Assertion-Empowerment
2,1,0,yes where did you buy it from orginally?,Information Inquiry-Contesting,Self Assertion-Empowerment
3,1,1,It is just over a year. I bought it from the schwinn factory directly.,Not-a-strategy,Self Assertion-Empowerment
4,2,0,did you have to make any repair? are all the parts orginigal?,Source Derogation-Contesting,Self Assertion-Empowerment
5,2,1,"I have newly installed rim tapes, inner tubes, derailleur cable.  all new parts. it is in good condition if that is what you are worried about.",Not-a-strategy,Self Assertion-Empowerment
6,3,0,who will deliever the bike?,Not-a-strategy,Self Assertion-Empowerment
7,3,1,"I think we can arrange that, i will take care of either delivering it or the shipping. I am asking 240$ witht he shipping included.",Personal Choice-Empowerment,Self Assertion-Empowerment
8,4,0,can you do $220?,Hesitance-Hesitance,Self Assertion-Empowerment
9,4,1,That seems fair. Deal.,Not-a-strategy,Self Assertion-Empowerment
10,0,0,Hey. How long have you had this couch for?,Information Inquiry-Contesting,Self Assertion-Empowerment
11,0,1,"HI, we've had it a couple years",Not-a-strategy,Self Assertion-Empowerment
12,1,0,Okay. Did anyone smoke where the couch was?,Information Inquiry-Contesting,Self Assertion-Empowerment
13,1,1,"Oh, no, none of us are smokers and it was bought new, so that's not an issue.",Not-a-strategy,Self Assertion-Empowerment
14,2,0,Okay great.  Is there any damage to the couch? Do you have a picture?,Source Derogation-Contesting,Self Assertion-Empowerment
15,2,1,"Sorry, ,I don't have a photo. But it has no damage, you would see when you picked it up.",Not-a-strategy,Self Assertion-Empowerment
16,3,0,Okay.  How much are you trying to sell it for?,Not-a-strategy,Self Assertion-Empowerment
17,3,1,I'm asking $40 and have come down a bit to that,Hesitance-Hesitance,Self Assertion-Empowerment
18,4,0,40 is good to me.  I can pick it up this weekend.  Cool?,Not-a-strategy,Self Assertion-Empowerment
19,4,1,"Hey, great! It's a deal. This weekend works fine.",Not-a-strategy,Self Assertion-Empowerment
20,5,0,Awesome,Not-a-strategy,Self Assertion-Empowerment
21,5,1,"Thanks, see you then.",Not-a-strategy,Self Assertion-Empowerment
22,6,0,You too. Bye,Not-a-strategy,Self Assertion-Empowerment
23,6,1,bye,Not-a-strategy,Self Assertion-Empowerment
24,0,0,"Hi, I'm interested in the 2001 Rav 4",Not-a-strategy,Self Assertion-Empowerment
25,0,1,It is a great car. It runs great. I'm asking $4000.,Not-a-strategy,Self Assertion-Empowerment
26,1,0,"That's way out of my budget, plus it seems a bit steep for such an old car.",Counter Argumentation-Contesting,Self Assertion-Empowerment
27,1,1,"It may be old, but it runs great. Has lower mileage and a clean title.",Counter Argumentation-Contesting,Self Assertion-Empowerment
28,2,0,Why are you selling it?,Source Derogation-Contesting,Self Assertion-Empowerment
29,2,1,I'm going to get a motorcycle instead. How much are you willing to pay?,Not-a-strategy,Self Assertion-Empowerment
30,3,0,"I'm very interested, but it's out of my price point. I'd like to pay around 2,500 for my next car.",Hesitance-Hesitance,Self Assertion-Empowerment
31,3,1,"You can't get a car like this for that low. I checked the Blue Book, and what I'm asking is right in range. I'll tell you what. I have a friend who is a mechanic. If you give me $3500, I'll have him check it out for you for free.",Counter Argumentation-Contesting,Self Assertion-Empowerment
32,4,0,"I could go up to $3,000",Hesitance-Hesitance,Self Assertion-Empowerment
33,4,1,How about $3400?,Hesitance-Hesitance,Self Assertion-Empowerment
34,5,0,"Believe me, I wish I had that much saved. The absolute highest I could go is $3,200",Self Pity-Empowement,Self Assertion-Empowerment
35,5,1,"No, too low. I'm close to the Blue Book value. If you pay $3400 and something goes wrong in the next three months, I'll refund your money. You rarely get a warranty like tha!",Personal Choice-Empowerment,Self Assertion-Empowerment
36,0,1,are you will to buy it,Not-a-strategy,Self Assertion-Empowerment
37,0,0,yes,Not-a-strategy,Self Assertion-Empowerment
38,1,1,i can offer you this item for 175$ with original box manual and remote,Not-a-strategy,Self Assertion-Empowerment
39,1,0,a bit lower than that maybe?,Hesitance-Hesitance,Self Assertion-Empowerment
40,2,1,165$ can be a good deal,Hesitance-Hesitance,Self Assertion-Empowerment
41,2,0,how about the condition?,Information Inquiry-Contesting,Self Assertion-Empowerment
42,3,1,"it new light used only, only 6 to 7 month old. still under warranty",Not-a-strategy,Self Assertion-Empowerment
43,3,0,how about the shipping?,Information Inquiry-Contesting,Self Assertion-Empowerment
44,4,1,i you are willing to pay 170 i can make the shipping what  do you say?,Personal Choice-Empowerment,Self Assertion-Empowerment
45,4,0,but you cant ship with 165?,Source Derogation-Contesting,Self Assertion-Empowerment
46,5,1,5$ isn't much for this item.,Counter Argumentation-Contesting,Self Assertion-Empowerment
47,5,0,yeah i know i think 170 is good with free shipping,Not-a-strategy,Self Assertion-Empowerment
48,6,1,can we have the deal,Not-a-strategy,Self Assertion-Empowerment
49,0,1,Hello are you interested in the rental,Not-a-strategy,Self Assertion-Empowerment
50,0,0,"Hi. I am yes, it seems to be a nice option. What is the asking price?",Not-a-strategy,Self Assertion-Empowerment
51,1,1,5395,Hesitance-Hesitance,Self Assertion-Empowerment
52,1,0,"I see. What comes with it? If I am leasing it, will I get repairs covered?",Information Inquiry-Contesting,Self Assertion-Empowerment
53,2,1,Yes reparis are covered and you have the chef's kitchen and pool with it.,Not-a-strategy,Self Assertion-Empowerment
54,2,0,Good to know. What would you think about an offer of 4100?,Hesitance-Hesitance,Self Assertion-Empowerment
55,3,1,"That's pretty low, what if we go with an even 5,000",Hesitance-Hesitance,Self Assertion-Empowerment
56,3,0,4100 would be better but I am willing to meet you in the middle. How about 4750?,Hesitance-Hesitance,Self Assertion-Empowerment
57,4,1,"Ok, I can live with that.",Not-a-strategy,Self Assertion-Empowerment
58,4,0,We have a deal then. Glad to do business!,Not-a-strategy,Self Assertion-Empowerment
59,0,0,"I saw your ad for the fitbit alta, could you tell me something about it?",Not-a-strategy,Self Assertion-Empowerment
60,0,1,Hello i'm selling this brand new fitbit for 100 dollars it's un open,Not-a-strategy,Self Assertion-Empowerment
61,1,0,Could you tell me some of the features?,Not-a-strategy,Self Assertion-Empowerment
62,1,1,yes it's a large fit bit alta,Not-a-strategy,Self Assertion-Empowerment
63,2,0,I see that. Does it monitor your sleep and heart rate?,Information Inquiry-Contesting,Self Assertion-Empowerment
64,2,1,yes i can go a little low but not to low,Not-a-strategy,Self Assertion-Empowerment
65,3,0,Well since it is new I could give you 75 for it,Hesitance-Hesitance,Self Assertion-Empowerment
66,3,1,"sorry sir i can't go that low, it's brand new and retails higher than $100. How about $85",Counter Argumentation-Contesting,Self Assertion-Empowerment
67,4,0,Well since it is new 85.00 is okay. I will send you an offer,Not-a-strategy,Self Assertion-Empowerment
68,4,1,would you like for me to ship it,Not-a-strategy,Self Assertion-Empowerment
69,0,0,Hi! I saw your post about the apartment?,Not-a-strategy,Self Assertion-Empowerment
70,0,1,"Hello, yes. The rent is $2698 monthly with all the included amenities.",Not-a-strategy,Self Assertion-Empowerment
71,1,0,"I have to admit, that stretches my budget to a point of discomfort. I'm not sold on the location. I'll have a bit of a commute.",Self Pity-Empowement,Self Assertion-Empowerment
72,1,1,"If it helps a bit, the apartment would be fully furnished. It really is a great deal especially for the location you will be in.",Counter Argumentation-Contesting,Self Assertion-Empowerment
73,2,0,I don't doubt it. Any chance you'd like to make my day and let me in for 1500?,Hesitance-Hesitance,Self Assertion-Empowerment
74,2,1,That is incredibly low and I have other people who are interested. The best offer I could give you would be $2450.,Self Assertion-Empowerment,Self Assertion-Empowerment
75,3,0,"I know, that was an insult. Forgive me. Tell me a little more about it. . . make me fall in love, and I could do 2200?",Not-a-strategy,Self Assertion-Empowerment
76,3,1,"That is not a problem. Well firstly, it is a quiet location. You could be downtown in about 5 minutes just walking. I didn't ask if you have pets. You would have a private yard for them to roam around in. We have a fitness center so you can keep up with your fitness goals. Our entire property was also recently renovated.",Not-a-strategy,Self Assertion-Empowerment
77,4,0,You're an excellent salesperson. 2200?,Hesitance-Hesitance,Self Assertion-Empowerment
78,4,1,I appreciate that. I can do $2375.,Hesitance-Hesitance,Self Assertion-Empowerment
79,5,0,Split the difference? 2287.50? We can round to 2287. ;),Hesitance-Hesitance,Self Assertion-Empowerment
80,5,1,$2300 and that is the lowest I can accept. Sound good?,Self Assertion-Empowerment,Self Assertion-Empowerment
81,6,0,Sounds good.,Not-a-strategy,Self Assertion-Empowerment
82,0,0,nice bike,Not-a-strategy,Self Assertion-Empowerment
83,0,1,"Thanks, it's truly a gem. Do you have questions about the bike?",Not-a-strategy,Self Assertion-Empowerment
84,1,0,is the seat comfortable,Information Inquiry-Contesting,Self Assertion-Empowerment
85,1,1,Yes! I acutally just replaced the seat with a brand new Schwinn seat a few months ago.,Not-a-strategy,Self Assertion-Empowerment
86,2,0,looks comphy are there logos on the bike,Information Inquiry-Contesting,Self Assertion-Empowerment
87,2,1,Yes all the orginal logos are still on the bike,Not-a-strategy,Self Assertion-Empowerment
88,3,0,"sweet, i can offer you what i have $380",Hesitance-Hesitance,Self Assertion-Empowerment
89,3,1,Would you willing to come it pick up from my place today or tomorrow?,Information Inquiry-Contesting,Self Assertion-Empowerment
90,4,0,actullay i'm in the area so i can be there today,Not-a-strategy,Self Assertion-Empowerment
91,4,1,"Ok great, Yeah I can do $380 I just need to get rid of the bike.",Not-a-strategy,Self Assertion-Empowerment
92,5,0,see ya in a few thanks,Not-a-strategy,Self Assertion-Empowerment
93,0,0,Hi. Lovely bed.  How long have you had the bed frame?,Information Inquiry-Contesting,Self Assertion-Empowerment
94,0,1,I have had the whole piece for less than a year and am willing to make a fair deal if interested?,Not-a-strategy,Self Assertion-Empowerment
95,1,0,I'm definitely interested in the whole bed.  Any nicks on the frame?,Source Derogation-Contesting,Self Assertion-Empowerment
96,1,1,"No heavy wear it is over all in great condition, I would consider it to be like new.",Not-a-strategy,Self Assertion-Empowerment
97,2,0,Okay. That sounds pretty good. Any stains on the mattress?,Source Derogation-Contesting,Self Assertion-Empowerment
98,2,1,No it had a mattress pad in smoke free home,Not-a-strategy,Self Assertion-Empowerment
99,3,0,All great sounding. What finish is the wood? I just want to make sure it matches the rest of my furniture? Mahogany?,Information Inquiry-Contesting,Self Assertion-Empowerment
100,3,1,"Actually, the lighting in the picture makes the color a bit off it is a dark reddish brown.",Not-a-strategy,Self Assertion-Empowerment
101,4,0,Okay that'll work. How about 150?,Hesitance-Hesitance,Self Assertion-Empowerment
102,4,1,"Could you meet me maybe somewhere in the middle, I have kept it in excellent condition.",Counter Argumentation-Contesting,Self Assertion-Empowerment
103,5,0,Okay.  I can do 210.,Not-a-strategy,Self Assertion-Empowerment
104,5,1,"210 is a fair price, and I can do that. You are able to pick it up?",Personal Choice-Empowerment,Self Assertion-Empowerment
105,6,0,Awesome! I can pick it up today. Let me know what time.,Not-a-strategy,Self Assertion-Empowerment
106,0,1,how are you,Not-a-strategy,Self Assertion-Empowerment
107,0,0,"Hi, I'm well and yourself?",Not-a-strategy,Self Assertion-Empowerment
108,1,1,"great thanks, so you are interested in my camcorder?",Not-a-strategy,Self Assertion-Empowerment
109,1,0,"Yes, I am very interested.  Have you had it long? Does everything work properly?",Information Inquiry-Contesting,Self Assertion-Empowerment
110,2,1,I haven't had it long and everything works great.  Make me an offer.  I am willing to negotiate,Not-a-strategy,Self Assertion-Empowerment
111,2,0,Does it have a warranty?,Information Inquiry-Contesting,Self Assertion-Empowerment
112,3,1,"Yes, through Canon",Not-a-strategy,Self Assertion-Empowerment
113,3,0,"Oh, that's great. Could you come down to $92 for it?",Hesitance-Hesitance,Self Assertion-Empowerment
114,4,1,"$92,  Yeah I think I could do that for you.",Not-a-strategy,Self Assertion-Empowerment
115,4,0,"Awesome, thank you!",Not-a-strategy,Self Assertion-Empowerment
116,0,0,"Hello, I am interested in your product.",Not-a-strategy,Self Assertion-Empowerment
117,0,1,Hi there,Not-a-strategy,Self Assertion-Empowerment
118,1,0,Is your sofa in good shape,Information Inquiry-Contesting,Self Assertion-Empowerment
119,1,1,It is used but in good condition,Not-a-strategy,Self Assertion-Empowerment
120,2,0,"Ok good, do you think it is better for sleeping or just relaxing?",Information Inquiry-Contesting,Self Assertion-Empowerment
121,2,1,You can use it as a sofa and convert it into a sleeper. I love it but I am moving to another state and I can't bring it with me,Not-a-strategy,Self Assertion-Empowerment
122,3,0,Oh ok.,Not-a-strategy,Self Assertion-Empowerment
123,3,1,I'm selling it for 40. nice price,Not-a-strategy,Self Assertion-Empowerment
124,4,0,Do you think you can go a little lower?,Hesitance-Hesitance,Self Assertion-Empowerment
125,4,1,hmm Can you pick it up before saturday?,Personal Choice-Empowerment,Self Assertion-Empowerment
126,5,0,Yes.,Not-a-strategy,Self Assertion-Empowerment
127,5,1,How about 30?,Hesitance-Hesitance,Self Assertion-Empowerment
128,6,0,That sounds good.,Not-a-strategy,Self Assertion-Empowerment
129,6,1,Great! I'll see you soom,Not-a-strategy,Self Assertion-Empowerment
130,0,0,Hi there. I was looking for ads and this one caught my attention. Is it in a good and working condition?,Information Inquiry-Contesting,Self Assertion-Empowerment
131,0,1,"It is, it's been used a lot less than its age would suggest. I only rode it a few times a month. Are you interested?",Not-a-strategy,Self Assertion-Empowerment
132,1,0,Yes very much so.,Not-a-strategy,Self Assertion-Empowerment
133,1,1,"What's your price point? It's clearly stylish, how does 950 sound?",Not-a-strategy,Self Assertion-Empowerment
134,2,0,That's way high for me. I have a budget of $760,Hesitance-Hesitance,Self Assertion-Empowerment
135,2,1,"I'd already be giving you a discount if we went to 900, she's really a beauty",Counter Argumentation-Contesting,Self Assertion-Empowerment
136,3,0,That doesn't fit into my budget at all.,Self Pity-Empowement,Self Assertion-Empowerment
137,3,1,875 then? I can't go down to 760.,Self Assertion-Empowerment,Self Assertion-Empowerment
138,4,0,Yeah that sounds like a fair deal.,Not-a-strategy,Self Assertion-Empowerment
139,4,1,Thank you,Not-a-strategy,Self Assertion-Empowerment
140,0,0,I am interested in your bike. It does seem to be priced quite high. Is there room for negotiation?,Not-a-strategy,Self Assertion-Empowerment
141,0,1,"yes, there is some wiggle room.",Not-a-strategy,Self Assertion-Empowerment
142,1,0,Great. Is there anything wrong with the bike?,Source Derogation-Contesting,Self Assertion-Empowerment
143,1,1,"Nope, I have put some work into it, so it is in great condition.",Not-a-strategy,Self Assertion-Empowerment
144,2,0,Great! Would you be willing to take $100?,Hesitance-Hesitance,Self Assertion-Empowerment
145,2,1,"No, that is too low. How about $225?",Self Assertion-Empowerment,Self Assertion-Empowerment
146,3,0,How about $125,Hesitance-Hesitance,Self Assertion-Empowerment
147,3,1,I can't do that. How about $175?,Hesitance-Hesitance,Self Assertion-Empowerment
148,4,0,If I pick it up today with cash would you do $140?,Personal Choice-Empowerment,Self Assertion-Empowerment
149,4,1,I suppose we could make that work.,Not-a-strategy,Self Assertion-Empowerment
150,0,1,Hi! I am willing to sell this bike at a great price are you interested?,Not-a-strategy,Self Assertion-Empowerment
151,0,0,"Yes, I am very interested! It looks like a beautiful bike.",Not-a-strategy,Self Assertion-Empowerment
152,1,1,Ok cool! The bike has very low miles and has and upgraded WTB saddle! It also has carbon blade forks and 105 brakes. I am willing to sell for as low as $750.,Not-a-strategy,Self Assertion-Empowerment
153,1,0,$750 seems a little steep since the bike already has some miles on it. Would you accept $400?,Counter Argumentation-Contesting,Self Assertion-Empowerment
154,2,1,$595 is the lowest for a fact!,Self Assertion-Empowerment,Self Assertion-Empowerment
155,2,0,"$595 is a little high for my budget. Are there any accessories you'd be willing to throw in--for instance, a basket, lights, and/or bike pump? That would make it a lot more appealing for me.",Personal Choice-Empowerment,Self Assertion-Empowerment
156,3,1,"I will throw in my 700c wheelset, instead of the standard wheelset. How about that!",Personal Choice-Empowerment,Self Assertion-Empowerment
157,3,0,"I am excited for the 700c wheelset, but it looks like that was already listed in the ad. Is there anything else you can include?",Information Inquiry-Contesting,Self Assertion-Empowerment
158,4,1,Nothing unfortunately. How about 550 and we can call it a night!,Hesitance-Hesitance,Self Assertion-Empowerment
159,4,0,"That sounds pretty reasonable. Before we make the final agreement, could you just let me know roughly how may miles are on the bike?",Information Inquiry-Contesting,Self Assertion-Empowerment
160,5,1,Well I bought the bike from someone else and have not used it. He did not specify on the miles but just said that it was very low!,Not-a-strategy,Self Assertion-Empowerment
161,5,0,"Hmm--the ad says that you bought it new. Since you actually bought it (lightly) used from someone else, can we lower the price to $450?",Counter Argumentation-Contesting,Self Assertion-Empowerment
162,6,1,Sounds good!,Not-a-strategy,Self Assertion-Empowerment
163,0,0,Hi,Not-a-strategy,Self Assertion-Empowerment
164,0,1,Heyu,Not-a-strategy,Self Assertion-Empowerment
165,1,0,I am interested. Is parking included?,Information Inquiry-Contesting,Self Assertion-Empowerment
166,1,1,"Yes, but only two spots per lease.",Not-a-strategy,Self Assertion-Empowerment
167,2,0,"fair enough, what is your pet policy?",Information Inquiry-Contesting,Self Assertion-Empowerment
168,2,1,"$30 per pet, and they have to be fixed. 5 max pets per lease.",Not-a-strategy,Self Assertion-Empowerment
169,3,0,"ok, I just have a cat.",Not-a-strategy,Self Assertion-Empowerment
170,3,1,That'd be fine. We ask for $2311 a month.,Not-a-strategy,Self Assertion-Empowerment
171,4,0,any chance you could do it for 1800? I only need one parking space.,Counter Argumentation-Contesting,Self Assertion-Empowerment
172,4,1,"I wish, but for some reason you want to live in California near the bay. Everything's way more expensive here. We offer 2 pools, so you can urinate in one and move to the next.",Counter Argumentation-Contesting,Self Assertion-Empowerment
173,5,0,"Well you must be very busy , your response time is very slow.  I am willing to come up to $2000.",Source Derogation-Contesting,Self Assertion-Empowerment
174,5,1,"Sorry, that must be the service. Can you do $2200 and I'll give you a month free.",Personal Choice-Empowerment,Self Assertion-Empowerment
175,6,0,"okay I suppose that is fair.sorry to harp on you , probably the connection.",Not-a-strategy,Self Assertion-Empowerment
176,0,0,Hi,Not-a-strategy,Self Assertion-Empowerment
177,0,1,Hello how are you today?,Not-a-strategy,Self Assertion-Empowerment
178,1,0,good thanks. I am wondering how old your bike is?,Information Inquiry-Contesting,Self Assertion-Empowerment
179,1,1,My bike is only one year old and its in an excellent condition,Not-a-strategy,Self Assertion-Empowerment
180,2,0,"Great, do you know if they are all terrain tires?",Information Inquiry-Contesting,Self Assertion-Empowerment
181,2,1,Yes they are,Not-a-strategy,Self Assertion-Empowerment
182,3,0,"great, I am hoping we could make a deal.. I was thinking I can do a cash offer of 304",Personal Choice-Empowerment,Self Assertion-Empowerment
183,3,1,That's too less for me. I can give it to you for $350,Hesitance-Hesitance,Self Assertion-Empowerment
184,4,0,If you can deliver it I can do 350.,Personal Choice-Empowerment,Self Assertion-Empowerment
185,4,1,Yes I can do that for you!,Not-a-strategy,Self Assertion-Empowerment
186,0,0,Hi!  I am interested in your bike.  How long have you had it?,Information Inquiry-Contesting,Self Assertion-Empowerment
187,0,1,I'm glad you're interested. We've only had it for about 6 months. It only has about 50 miles on it!,Not-a-strategy,Self Assertion-Empowerment
188,1,0,"That's definitely a plus!  My wife is an avid biker and I want to surprise her with a nice bike.  Something like this would normally be way out of my price range.  But, I figured I would give it a try.",Self Pity-Empowement,Self Assertion-Empowerment
189,1,1,"Well my wife has definitely enjoyed it, so if yours is like mine I'm sure she will too! I've listed this at $1100 and I expect it to go quickly.",Not-a-strategy,Self Assertion-Empowerment
190,2,0,"I won't argue that it is a decent price.  Just wondering, is there anything wrong with it?  Seems like a lot to spend on a bike that only has 50 miles of usage...",Source Derogation-Contesting,Self Assertion-Empowerment
191,2,1,I'm not aware of anything wrong with it - unless you count the fact that it's taking up space in my garage that I'd like to use for other things!,Not-a-strategy,Self Assertion-Empowerment
192,3,0,"Well, I would love to take it off of your hands at $800.  I'll throw in a birthday party invite. lol",Personal Choice-Empowerment,Self Assertion-Empowerment
193,3,1,"If you can make it $900 and pick it up today, I think we can make a deal",Personal Choice-Empowerment,Self Assertion-Empowerment
194,4,0,$900.  I think we have a deal!,Not-a-strategy,Self Assertion-Empowerment
195,4,1,Fantastic!,Not-a-strategy,Self Assertion-Empowerment
196,0,1,"Hey there, you're interested in one of these cell phone batteries?",Not-a-strategy,Self Assertion-Empowerment
197,0,0,"Hello, are these batteries used?",Information Inquiry-Contesting,Self Assertion-Empowerment
198,1,1,"Nope, I couldn't sell them if they were used, we're a third-party distributor of excess batteries.",Not-a-strategy,Self Assertion-Empowerment
199,1,0,Okay and how many batteries are you selling for $10?,Information Inquiry-Contesting,Self Assertion-Empowerment
