,Turn,Speaker,Text,True,Pred
0,0,1,I couldn't agree more.,Not-a-strategy,Information Inquiry-Contesting
1,1,1,"I have, I have donated christmas gifts to local Toys for Tots every year.",Self Assertion-Empowerment,Information Inquiry-Contesting
2,1,1,And a few other local charities specifically for children.,Self Assertion-Empowerment,Information Inquiry-Contesting
3,1,1,Have you ever donated to children?,Counter Argumentation-Contesting,Information Inquiry-Contesting
4,2,1,Thats very sweet of you.,Not-a-strategy,Information Inquiry-Contesting
5,2,1,What did you get him?,Hesitance-Hesitance,Information Inquiry-Contesting
6,3,1,Thats amazing.,Not-a-strategy,Information Inquiry-Contesting
7,3,1,I am glad you were there to help him.,Not-a-strategy,Information Inquiry-Contesting
8,3,1,I would do the same,Not-a-strategy,Information Inquiry-Contesting
9,4,1,Its extremely sad.,Not-a-strategy,Information Inquiry-Contesting
10,4,1,"If I had the money that some people have, I would form my own foundation specifically for under privileged children and those in need.",Personal Choice-Empowerment,Information Inquiry-Contesting
11,5,1,I don't waste much money on that type of stuff.,Not-a-strategy,Information Inquiry-Contesting
12,5,1,My money is more wasted on drive thru getting coffee.,Counter Argumentation-Contesting,Information Inquiry-Contesting
13,5,1,I can easily cut down on that to donate more to charity tho.,Not-a-strategy,Information Inquiry-Contesting
14,5,1,Great idea!!,Not-a-strategy,Information Inquiry-Contesting
15,6,1,I agree.,Not-a-strategy,Information Inquiry-Contesting
16,6,1,"Children are the future, and not only that, but they didn't ask to be born, so why should they suffer?",Not-a-strategy,Information Inquiry-Contesting
17,6,1,They need the best shot and thats up to us to give.,Not-a-strategy,Information Inquiry-Contesting
18,7,1,"If that was the case, than we might not be in this problem.",Not-a-strategy,Information Inquiry-Contesting
19,7,1,But we can always try.,Not-a-strategy,Information Inquiry-Contesting
20,8,1,I agree.,Not-a-strategy,Information Inquiry-Contesting
21,8,1,What do you have in mind?,Not-a-strategy,Information Inquiry-Contesting
22,9,1,And share on social media could be the next step?,Not-a-strategy,Information Inquiry-Contesting
23,0,1,okay..and how are you,Not-a-strategy,Information Inquiry-Contesting
24,1,1,yes..i am very familiar..,Not-a-strategy,Information Inquiry-Contesting
25,1,1,are you involved with charity,Hesitance-Hesitance,Information Inquiry-Contesting
26,2,1,me too..i see many commercials for charity on TV and it breaks my heart..,Not-a-strategy,Information Inquiry-Contesting
27,2,1,"i am also a follower of Unicef, are you familiar",Self Assertion-Empowerment,Information Inquiry-Contesting
28,3,1,"interesting, what do the ratings represent",Counter Argumentation-Contesting,Information Inquiry-Contesting
29,4,1,very good...are you interested in other charities involved with children,Self Assertion-Empowerment,Information Inquiry-Contesting
30,5,1,i happen to favor unicef since my kids collect for halloween and kids count monies as part of class project.,Information Inquiry-Contesting,Information Inquiry-Contesting
31,6,1,i tend to give up to 100$ a month to children's org- what is your prefered donation?,Counter Argumentation-Contesting,Information Inquiry-Contesting
32,7,1,ah..what do you consider a fair donation per month,Counter Argumentation-Contesting,Information Inquiry-Contesting
