,Index,User,Text,Face acts
0,C_4566b2e6938a4a6a8e714e799d780e71,0,"Hi,I am interested in your board!",
1,C_4566b2e6938a4a6a8e714e799d780e71,1,"Hi, do you have any questions?",
2,C_4566b2e6938a4a6a8e714e799d780e71,0,Do you know what wood it is made out of?,
3,C_4566b2e6938a4a6a8e714e799d780e71,1,I do not know specifically but the brand is a gravity skateboard.,
4,C_4566b2e6938a4a6a8e714e799d780e71,0,"The wheels seem nice on it, but they could be a beter quality. Would you accept 100 for the board?",
5,C_4566b2e6938a4a6a8e714e799d780e71,1,"No, that offer is too low. The board is pretty much brand new as it's been ridden only 4 or 5 times.  The bone bearings are brand new.",
6,C_4566b2e6938a4a6a8e714e799d780e71,0,If I picked it up at your location would you accpet 120?,
7,C_4566b2e6938a4a6a8e714e799d780e71,1,Make it 150 and we got a deal.,
8,C_4566b2e6938a4a6a8e714e799d780e71,0,"I could do 145, if you can gurantee the painting on the front of the board is not scratched up.",
9,C_4566b2e6938a4a6a8e714e799d780e71,1,Deal,
10,C_4566b2e6938a4a6a8e714e799d780e71,0,Great!,
127,C_ce5ae3acf9934d278fa6fd626a5fbebf,0,I'm very interested in renting this location.,
128,C_ce5ae3acf9934d278fa6fd626a5fbebf,1,"It is a great location, and the unit is spacious and beautiful! 4 Bedroom, 2 bath",
129,C_ce5ae3acf9934d278fa6fd626a5fbebf,0,"Sounds nice, my wife has one on the way. How are the schools there? It's a bit too far from work...",
130,C_ce5ae3acf9934d278fa6fd626a5fbebf,1,There is easy access to FWY 880 and Dumbarton Bridge -,
131,C_ce5ae3acf9934d278fa6fd626a5fbebf,0,I heard a terrorist attack happened a few blocks away from there.,
132,C_ce5ae3acf9934d278fa6fd626a5fbebf,1,"This is a quiet community normally. And yes, there was an incident recently. However, our mayor has encouraged gun ownership by legal residents, and has promised not to prosecute any citizens who take out bad guys as needed, so we feel this is a great place to live.",
133,C_ce5ae3acf9934d278fa6fd626a5fbebf,0,"Personally, I'd like to live near work, but the wife you know... I got a place lined up for 2,000 a month, so there's a very wide gap here between what you are asking.",
134,C_ce5ae3acf9934d278fa6fd626a5fbebf,1,Do you believe in the right to self-defence? This is a great perk to living in the community. I can work with you on price some.,
135,C_ce5ae3acf9934d278fa6fd626a5fbebf,0,"Sounds really great, but with the extra commute time, I think we may be too far apart. But... need to keep the wife happy. How about $2200?",
136,C_ce5ae3acf9934d278fa6fd626a5fbebf,1,"If you promise to own, and learn how to shoot, if necessary, at least one handgun and one semi-auto rifle, I will take 2200.",
137,C_ce5ae3acf9934d278fa6fd626a5fbebf,0,Great! Make that offer :),
162,C_1f531424e5ed47fc9f3b64f69eb21460,0,Hello. I saw your ad. I really would like to buy it for my kid. Is it a reliable equipment,
163,C_1f531424e5ed47fc9f3b64f69eb21460,1,It is in great condition.  I would be willing to deliver it to you!,
164,C_1f531424e5ed47fc9f3b64f69eb21460,0,Great and do you have it in different colors?,
165,C_1f531424e5ed47fc9f3b64f69eb21460,1,"I only have the blue one, but it is in like new condition.",
166,C_1f531424e5ed47fc9f3b64f69eb21460,0,"Okay, I can still use that, but now the price is an issue for me. What can we do about that?",
167,C_1f531424e5ed47fc9f3b64f69eb21460,1,"well, I will throw in free delivery and a 3 month warranty for the $100.",
168,C_1f531424e5ed47fc9f3b64f69eb21460,0,I can't afford $100 because I am not working full time. I just have a certain budget. I can only pay $76 for it,
169,C_1f531424e5ed47fc9f3b64f69eb21460,1,"That is a really big difference!  I will also throw in a helmet and bring the price down to $95.  So, you will get the bike, the helmet, delivery, and a 3 month warranty.  I feel that this is more than fair.  Wouldn't you agree?",
