,Index,User,Text,Face acts
11,C_af8b847888704a0d91b3ad30393c0907,0,man thats a nice trak,
12,C_af8b847888704a0d91b3ad30393c0907,1,yes its really nice,
13,C_af8b847888704a0d91b3ad30393c0907,0,how about you give it to me for 8000,
14,C_af8b847888704a0d91b3ad30393c0907,1,That is way too little,
15,C_af8b847888704a0d91b3ad30393c0907,0,i realy dont need it but i can pay you 8200 if you let it go,
16,C_af8b847888704a0d91b3ad30393c0907,1,I can go down to 14k but I can't knock off 6k,
17,C_af8b847888704a0d91b3ad30393c0907,0,"oh man i cant afford that, i need to buy food for my pigs and farm and send my child to private school, can you do 13k ?",
18,C_af8b847888704a0d91b3ad30393c0907,1,I will take 13k,
19,C_af8b847888704a0d91b3ad30393c0907,0,ok i can pick it up this weekend,
20,C_af8b847888704a0d91b3ad30393c0907,1,sounds good,
199,C_c752a7fe23c846808ecc425c91ef3540,1,This car will get you laid.,
200,C_c752a7fe23c846808ecc425c91ef3540,0,"Funny, I highly doubt a 14 y/o car will get anyone laid",
201,C_c752a7fe23c846808ecc425c91ef3540,1,"Just cause you haven't had one yet. Look at it. It's beautiful, not so many miles, the odemeter only spun around once.",
202,C_c752a7fe23c846808ecc425c91ef3540,0,Too be honest don't like the front bumper would be better without that black cover,
203,C_c752a7fe23c846808ecc425c91ef3540,1,"Oh, you can rip that off, and use it to wrap up your next date",
204,C_c752a7fe23c846808ecc425c91ef3540,0,what's it with you and dates?,
205,C_c752a7fe23c846808ecc425c91ef3540,1,"The car also has headlights, windshield wipers - and doors.",
206,C_c752a7fe23c846808ecc425c91ef3540,0,All cars have that how much are you asking for?,
207,C_c752a7fe23c846808ecc425c91ef3540,1,3500,
208,C_c752a7fe23c846808ecc425c91ef3540,0,How about 3000,
209,C_c752a7fe23c846808ecc425c91ef3540,1,"I'll throw in Luminal and Bleech, did I mention how spacious the trunk is?",
210,C_c752a7fe23c846808ecc425c91ef3540,0,"Not fond of manual transmissions, not going to pay 3500 for one",
211,C_c752a7fe23c846808ecc425c91ef3540,1,Meet in the middle?,
212,C_c752a7fe23c846808ecc425c91ef3540,0,3250? Sure,
240,C_5adcf08c93e54eda8277970bf545117b,0,"ima give it to u straight mang, u over priced this big time",
241,C_5adcf08c93e54eda8277970bf545117b,1,"Well, I certainly disagree. Do you have a price in mind?",
242,C_5adcf08c93e54eda8277970bf545117b,0,i was like i give u $20,
243,C_5adcf08c93e54eda8277970bf545117b,1,"Well that's certainly not going to work. I'm willing to negotiate but you need to be serious with your offer. These are high quality binoculars that can take pictures, video, and have built in wi-fi.",
244,C_5adcf08c93e54eda8277970bf545117b,0,"i know these bad to peep on me neighor mang, she's hot",
245,C_5adcf08c93e54eda8277970bf545117b,1,"The purpose for which you choose to use these is up to you, though I'm not going to be able to sell them if you admit you're interested in using them for an illegal purpose such as peeping. Are you interested in purchasing these or not?",
