,Index,User,Text,Face acts
33,C_e2781ecd69264b00a4cc25ee96d271c5,1,Hello,
34,C_e2781ecd69264b00a4cc25ee96d271c5,0,Hi there. I had a few questions about the phone you are selling.,
35,C_e2781ecd69264b00a4cc25ee96d271c5,1,Sure,
36,C_e2781ecd69264b00a4cc25ee96d271c5,0,How old is the phone? I don`t see it stated anywhere.,
37,C_e2781ecd69264b00a4cc25ee96d271c5,1,2 years old,
38,C_e2781ecd69264b00a4cc25ee96d271c5,0,"Hmm ok. It says it`s like new, but 2 years old could possibly warrant a slightly lower price? Are you open for negotiation?",
39,C_e2781ecd69264b00a4cc25ee96d271c5,1,Slightly,
40,C_e2781ecd69264b00a4cc25ee96d271c5,0,The highest I can offer is around 100 dollars. Is this too low?,
41,C_e2781ecd69264b00a4cc25ee96d271c5,1,Yes,
42,C_e2781ecd69264b00a4cc25ee96d271c5,0,What would be your lowest point?,
53,C_4db427e052ea4ae5adc922a65928c578,1,hi,
54,C_4db427e052ea4ae5adc922a65928c578,0,Hello,
55,C_4db427e052ea4ae5adc922a65928c578,1,do you care to make an offer?,
56,C_4db427e052ea4ae5adc922a65928c578,0,"The place sounds nice, but may be a little more than I can afford",
57,C_4db427e052ea4ae5adc922a65928c578,1,well how much can you soend?,
58,C_4db427e052ea4ae5adc922a65928c578,0,I was looking for something in the 1500-1600 range,
59,C_4db427e052ea4ae5adc922a65928c578,1,"That is really unreasonable considering all the immenities and other going rates, you would need to come up to at least 3000",
60,C_4db427e052ea4ae5adc922a65928c578,0,"I have seen some 2 bedrooms for that price, which I could split the cost with a roommate, so even with amenities, this may be out of my range",
61,C_4db427e052ea4ae5adc922a65928c578,1,it may be then... the absolute lowest i will go is 2700. that is my final offer.,
62,C_4db427e052ea4ae5adc922a65928c578,0,"Ok, I think the most I could spend on this is 2000 - we are a ways apart",
63,C_4db427e052ea4ae5adc922a65928c578,1,ya that is far too low like i said 2700,
64,C_4db427e052ea4ae5adc922a65928c578,0,"Ok, thanks for your consideration. I will have to keep looking for now.",
65,C_4db427e052ea4ae5adc922a65928c578,1,good luck,
77,C_b046547966ae4fb5a83bf75d4fcf3999,0,Have the headphones been used?,
78,C_b046547966ae4fb5a83bf75d4fcf3999,1,"No, they are new and very nice.",
79,C_b046547966ae4fb5a83bf75d4fcf3999,0,Can I use them with my gaming console?,
80,C_b046547966ae4fb5a83bf75d4fcf3999,1,"Yes, you can.",
81,C_b046547966ae4fb5a83bf75d4fcf3999,0,Any of them?,
82,C_b046547966ae4fb5a83bf75d4fcf3999,1,Yes.,
83,C_b046547966ae4fb5a83bf75d4fcf3999,0,Do you have one in a different color?,
84,C_b046547966ae4fb5a83bf75d4fcf3999,1,"Yes, what color are you looking for?",
85,C_b046547966ae4fb5a83bf75d4fcf3999,0,Blue,
86,C_b046547966ae4fb5a83bf75d4fcf3999,1,I have that color.,
87,C_b046547966ae4fb5a83bf75d4fcf3999,0,Which color is this one? 125 a bit pricey,
88,C_b046547966ae4fb5a83bf75d4fcf3999,1,This one is white.,
89,C_b046547966ae4fb5a83bf75d4fcf3999,0,"I guess it's a deal, lets see what happens if I accept",
150,C_88771d41302946c28a70671aa804cc75,0,"I am interested in your cubicles, do you know who the manufacturer is?",
151,C_88771d41302946c28a70671aa804cc75,1,"Hello, are you interested in the cubicles I have for sale?",
152,C_88771d41302946c28a70671aa804cc75,0,"I am interested in your cubicles, do you know who the manufacturer is?",
153,C_88771d41302946c28a70671aa804cc75,1,"No I am not sure exactly, but I know they are very well built .",
154,C_88771d41302946c28a70671aa804cc75,0,I've seen them sell around $50 individually would you be willing to take $200 for the set?,
155,C_88771d41302946c28a70671aa804cc75,1,That is way too low for me to go. These are very sturdy and well made . originally cost far more than I am asking. I am willing to go to 380 on the price drop ..,
156,C_88771d41302946c28a70671aa804cc75,0,That is pretty similar to the cost of new would you be willing to take $225?,
157,C_88771d41302946c28a70671aa804cc75,1,"I think you forget that those cheaper new ones are not the same quality here, also you would be getting the chairs and cabinets as well.",
158,C_88771d41302946c28a70671aa804cc75,0,I don't want the chairs and cabinets I just want to cubicles.,
159,C_88771d41302946c28a70671aa804cc75,1,"well I am willing to come down , but only to 360 as I can get a better offer for everything as a set.",
160,C_88771d41302946c28a70671aa804cc75,0,"I really do need the cubicles but I already have the chairs and cabinets, so you could probably sell them and get the rest of your money how about I offer $235?",
161,C_88771d41302946c28a70671aa804cc75,1,"No I am sorry, I know I could much better with what I have to offer. either 360 or nothing..",
228,C_3ae4537d69144ebf839fb1e6e1d69d00,0,Hi there... I am interested ..,
229,C_3ae4537d69144ebf839fb1e6e1d69d00,1,Ok! So what is your price?,
230,C_3ae4537d69144ebf839fb1e6e1d69d00,0,"well I see they say new, so they have never been used?",
231,C_3ae4537d69144ebf839fb1e6e1d69d00,1,Nope! Item is brand new! I am asking $10 for it!,
232,C_3ae4537d69144ebf839fb1e6e1d69d00,0,I am on a budget I was hoping to pay $7.,
233,C_3ae4537d69144ebf839fb1e6e1d69d00,1,Well it is brand! How about $8.,
234,C_3ae4537d69144ebf839fb1e6e1d69d00,0,are there any other perks to this?,
235,C_3ae4537d69144ebf839fb1e6e1d69d00,1,It is compatible with many RIM Blackberry Smartphone PDA models. Is there a particular model you are trying to use the headset for? I can tell you if it is compatible!,
236,C_3ae4537d69144ebf839fb1e6e1d69d00,0,I am just trying to figure out if I GO ABOVE MY BUDGET I AM GETTING A REALLY GOOD QUALITY PRODUCT.,
237,C_3ae4537d69144ebf839fb1e6e1d69d00,1,Well I don't know what else to tell you! My asking price is $10 but I am willing to go down to $8. It is brand new never before used.,
238,C_3ae4537d69144ebf839fb1e6e1d69d00,0,OKAY DEAL,
239,C_3ae4537d69144ebf839fb1e6e1d69d00,1,Ok. Thanks!,
278,C_3cfdfad9aa444a089c7dab41dcb15a4d,1,hello,
279,C_3cfdfad9aa444a089c7dab41dcb15a4d,0,Hi there. I saw your ad of the wood glass book case. It really got my attention. I loved the interior of it. Is it new or used?,
280,C_3cfdfad9aa444a089c7dab41dcb15a4d,1,its used so that is why im selling it for a really good deal of 95,
281,C_3cfdfad9aa444a089c7dab41dcb15a4d,0,Yeah but the amount is too much for me. I can afford to pay 72 for it. That's what I got since its used I would really appreciate if we could work that out,
282,C_3cfdfad9aa444a089c7dab41dcb15a4d,1,this is an antique so although it is used it is very good bookcase,
283,C_3cfdfad9aa444a089c7dab41dcb15a4d,0,Okay how about $75?,
284,C_3cfdfad9aa444a089c7dab41dcb15a4d,1,90,
285,C_3cfdfad9aa444a089c7dab41dcb15a4d,0,That's too much for me I honestly can't afford that,
286,C_3cfdfad9aa444a089c7dab41dcb15a4d,1,i can bring it to you,
287,C_3cfdfad9aa444a089c7dab41dcb15a4d,0,Okay how about 85$ I loved this piece and I would really like to get it!,
