,Index,User,Text,Face acts
21,C_5c26a95cef21489bb071772ab5efcf77,0,Hi iam interested in your MicroSD Card for sale,
22,C_5c26a95cef21489bb071772ab5efcf77,1,Good.  What is your offer?,
23,C_5c26a95cef21489bb071772ab5efcf77,0,"I would like to offer  you 65.00, I know their worth and that seems of correct value to me.",
24,C_5c26a95cef21489bb071772ab5efcf77,1,"Well I think there are a lot of opinions about the value, and I think it's good to open a dialog about the value.",
25,C_5c26a95cef21489bb071772ab5efcf77,0,"This is true, There are larger ones for same price, so I feel my price is fair. I would also pick up the item at your convience.",
26,C_5c26a95cef21489bb071772ab5efcf77,1,That's interesting.  I've seen ones my size sell for $85 in some places!  Picking up the item is a good offer too!,
27,C_5c26a95cef21489bb071772ab5efcf77,0,"Really? I have seen them cheaper then that. How about I pick up the item anytime you are free, and I pay 69 for it?",
28,C_5c26a95cef21489bb071772ab5efcf77,1,That's a pretty good offer.  Is it possible for you to come up to $71?,
29,C_5c26a95cef21489bb071772ab5efcf77,0,Since I am picking it up I would like to stay at the 69.,
30,C_5c26a95cef21489bb071772ab5efcf77,1,"Hmm...Okay, let me think about if for a minute.  You will definitely like this SD card.",
31,C_5c26a95cef21489bb071772ab5efcf77,0,"I am sure I will, it seems great, I also think you will like not having to leave your home or go out of your way. I would love to buy it, I could even meet you in the middle at 70.00.",
32,C_5c26a95cef21489bb071772ab5efcf77,1,That sounds even better.  I accept your offer and look forward to seeing you.  I'm glad we could come to an agreement!,
43,C_6b1dae69c75941d39d021a4c38d1e3df,0,good day!,
44,C_6b1dae69c75941d39d021a4c38d1e3df,1,this is a rare bike,
45,C_6b1dae69c75941d39d021a4c38d1e3df,0,it looks like a great bike in wonderful condition,
46,C_6b1dae69c75941d39d021a4c38d1e3df,1,"it has served me good, i hope you take care of it",
47,C_6b1dae69c75941d39d021a4c38d1e3df,0,"Looks like this was made for me, I like the style. how doe $510 for it sound? I would like to pay lower, but sense it's a classic and rare, I thought this would be a fair price.",
48,C_6b1dae69c75941d39d021a4c38d1e3df,1,yes i priced it fair,
49,C_6b1dae69c75941d39d021a4c38d1e3df,0,hmmm any chance you can go to $550?,
50,C_6b1dae69c75941d39d021a4c38d1e3df,1,"i can do that if you pick up today, its a today only special",
51,C_6b1dae69c75941d39d021a4c38d1e3df,0,gladly!,
52,C_6b1dae69c75941d39d021a4c38d1e3df,1,deal,
66,C_7361593452604767a36a141b8b7adbcd,1,"Hello, how are you today",
67,C_7361593452604767a36a141b8b7adbcd,0,"Hi, very well thank you! So, is the DVD player in a good condition?",
68,C_7361593452604767a36a141b8b7adbcd,1,It is in great condition. I have barely taken it out of the box.,
69,C_7361593452604767a36a141b8b7adbcd,0,How much can you give it for?,
70,C_7361593452604767a36a141b8b7adbcd,1,The price is $55,
71,C_7361593452604767a36a141b8b7adbcd,0,Yeah but its too much for me,
72,C_7361593452604767a36a141b8b7adbcd,1,I understand that would normally be a lot for a used DVD player but this item has only been used for one week.,
73,C_7361593452604767a36a141b8b7adbcd,0,"Yeah, but there are a lot of different options in the market. I am a student and can only afford what my budget allows me to do so. I can pay $41. Will you accept it?",
74,C_7361593452604767a36a141b8b7adbcd,1,"I understand a student's budget, as I have no to long ago graduated myself. I just am already letting it go real cheap. I paid $130 for the product. The only reason I am parting with it is that It only streams the big streaming channels like Netflix, Hulu, Vudu and Youtube and I bought a DVD player/Android Box combo that will allow me to stream those plus add my own channels. I can't possibly sell it for $41.",
75,C_7361593452604767a36a141b8b7adbcd,0,Okay I can only afford $48 that's the last I can pay,
76,C_7361593452604767a36a141b8b7adbcd,1,"Make it $50 and we have a deal. I know it is a stretch to your budget but trust me with everything this player does, you will save more than $2 on entertainment",
213,C_3501667fc3eb421bbebdb1990010dd13,0,"hey, man i gotta say this seems a little over priced",
214,C_3501667fc3eb421bbebdb1990010dd13,1,"For a Royce Union? No, these go for $1200 brand new, I'm only selling in because I have medical bills for my daughter I need to pay.",
215,C_3501667fc3eb421bbebdb1990010dd13,0,how old is your daughter?,
216,C_3501667fc3eb421bbebdb1990010dd13,1,12,
